,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134
0,-1.0,112077222.0,1193351876.0,1201259976.0,12154072.0,1254948954.0,1256244530.0,1285599488.0,1304602711.0,1370886721.0,1484838398.0,1577272964.0,1617405097.0,1690971836.0,170227238.0,179635048.0,1896903314.0,203779960.0,2150214601.0,2233423569.0,2308883654.0,237158398.0,2416824502.0,2428489305.0,2465934385.0,2515007300.0,264013487.0,2730683010.0,2733625915.0,2772853362.0,2786928739.0,2827806306.0,283111686.0,2854111591.0,2887012286.0,2891849250.0,2903360653.0,2910794929.0,2911006837.0,2915729407.0,2925375086.0,2940472412.0,2957404981.0,2990987958.0,3073317074.0,3076248691.0,3133331985.0,3139765596.0,3144995366.0,3153251286.0,3223162074.0,3237034825.0,323824621.0,3246602130.0,3322059139.0,3378114558.0,368201887.0,3958886533.0,3978823959.0,425649742.0,434083861.0,4357471874.0,4365468440.0,4378883246.0,4411473134.0,446271701.0,4548087492.0,456427886.0,4697085992.0,4709715133.0,4719158232.0,4729497019.0,484114944.0,4846294509.0,4861887744.0,4872412393.0,554355894.0,555227531.0,576360862.0,576440226.0,602858739.0,614884368.0,7.007146102618194e+17,7.04224653594792e+17,717594542.0,7.213964407281132e+17,749831814.0,7.54216765274456e+17,7.562225030605169e+17,756719846.0,7.597347753807053e+17,7.617864377633014e+17,77396252.0,7.799164091407606e+17,7.839592806888366e+17,7.855165394369946e+17,7.89343365515051e+17,7.918703388670362e+17,7.960549130211328e+17,8.016389863935386e+17,8.0169478938948e+17,8.156080442141655e+17,8.159112482483692e+17,8.206789392701194e+17,8.257042271879946e+17,8.265807785196298e+17,8.268068804587028e+17,8.306720521557402e+17,8.310131434512261e+17,8.385768289147535e+17,8.387614160395428e+17,8.419927677902807e+17,8.503531430661038e+17,8.636892180186235e+17,8.676578127422177e+17,8.716327682827469e+17,8.720140611558646e+17,874005571.0,8.950013864163901e+17,8.963426675958866e+17,8.963453605027103e+17,9.03802493511e+17,9.079119899425055e+17,9.159464568249467e+17,9.183563445408236e+17,9.317627068263875e+17,9.353379334851174e+17,9.357660255089746e+17,93648948.0,9.37708074000728e+17,9.382806862970102e+17,9.464471044901601e+17,9.467581834853007e+17,9.480591399718666e+17,9.492749298406277e+17
1,112077222.0,0.0,2.0,1.0,588.0,0.0,2.0,6.0,224.0,0.0,1.0,19.0,1.0,0.0,7.0,1.0,0.0,191.0,247.0,0.0,1.0,135.0,7.0,0.0,1.0,7.0,13.0,1.0,0.0,3.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,4.0,2.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,22.0,3.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,2.0,1.0,2.0,96.0,2.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,128.0,1.0,7.0,2.0,2.0,0.0,0.0,0.0,0.0,156.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,6.0,58.0,0.0,3.0,1.0,2.0,0.0,1.0
2,1193351876.0,2.0,0.0,14.0,0.0,18.0,33.0,2.0,100.0,1.0,45.0,0.0,23.0,3.0,38.0,23.0,17.0,15.0,24.0,8.0,33.0,30.0,4.0,0.0,4.0,12.0,62.0,0.0,3.0,26.0,2.0,32.0,5.0,0.0,78.0,6.0,0.0,5.0,58.0,39.0,8.0,11.0,24.0,0.0,29.0,48.0,4.0,18.0,1.0,46.0,0.0,2.0,17.0,169.0,0.0,0.0,20.0,28.0,38.0,23.0,21.0,8.0,12.0,29.0,14.0,6.0,0.0,2.0,0.0,1.0,5.0,3.0,0.0,3.0,12.0,0.0,5.0,19.0,15.0,30.0,60.0,36.0,13.0,37.0,6.0,183.0,4.0,8.0,2.0,5.0,0.0,0.0,3.0,20.0,2.0,11.0,7.0,2.0,0.0,1.0,2.0,4.0,15.0,0.0,2.0,0.0,0.0,10.0,2.0,31.0,37.0,6.0,1.0,2.0,5.0,0.0,0.0,1.0,32.0,0.0,0.0,0.0,5.0,43.0,0.0,1.0,0.0,103.0,15.0,1.0,0.0,20.0,4.0,1.0,8.0
3,1201259976.0,1.0,14.0,0.0,2.0,16.0,45.0,2.0,45.0,15.0,11.0,1.0,38.0,8.0,13.0,65.0,19.0,10.0,29.0,45.0,35.0,11.0,4.0,9.0,2.0,5.0,95.0,4.0,45.0,26.0,22.0,69.0,18.0,0.0,5.0,16.0,0.0,6.0,78.0,39.0,24.0,47.0,66.0,0.0,84.0,105.0,1.0,73.0,20.0,59.0,0.0,8.0,2.0,30.0,0.0,1.0,35.0,38.0,11.0,63.0,64.0,20.0,55.0,103.0,10.0,0.0,0.0,5.0,10.0,6.0,33.0,36.0,0.0,1.0,42.0,13.0,6.0,17.0,35.0,19.0,18.0,97.0,0.0,1.0,0.0,6.0,6.0,44.0,33.0,4.0,0.0,0.0,15.0,44.0,15.0,0.0,59.0,7.0,0.0,18.0,23.0,37.0,43.0,2.0,19.0,0.0,0.0,28.0,6.0,58.0,61.0,23.0,29.0,43.0,9.0,17.0,0.0,0.0,23.0,5.0,4.0,0.0,2.0,2.0,0.0,11.0,1.0,106.0,15.0,3.0,2.0,6.0,2.0,1.0,20.0
4,12154072.0,588.0,0.0,2.0,0.0,0.0,0.0,3.0,93.0,0.0,0.0,32.0,0.0,0.0,2.0,0.0,0.0,132.0,338.0,0.0,1.0,31.0,9.0,0.0,0.0,6.0,29.0,4.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,3.0,1.0,0.0,1.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,1.0,1.0,102.0,1.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145.0,2.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,174.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,7.0,24.0,0.0,4.0,0.0,1.0,0.0,1.0
5,1254948954.0,0.0,18.0,16.0,0.0,0.0,15.0,3.0,51.0,0.0,10.0,0.0,15.0,2.0,20.0,22.0,5.0,8.0,41.0,1.0,14.0,8.0,2.0,1.0,1.0,13.0,38.0,2.0,3.0,30.0,3.0,7.0,3.0,0.0,7.0,14.0,0.0,2.0,25.0,8.0,7.0,1.0,23.0,0.0,13.0,23.0,1.0,10.0,6.0,22.0,0.0,1.0,2.0,29.0,0.0,0.0,19.0,11.0,12.0,11.0,8.0,7.0,10.0,32.0,6.0,3.0,1.0,3.0,0.0,0.0,1.0,8.0,0.0,1.0,24.0,2.0,5.0,101.0,7.0,26.0,26.0,38.0,4.0,1.0,10.0,10.0,4.0,3.0,2.0,1.0,0.0,0.0,0.0,18.0,6.0,1.0,17.0,10.0,0.0,2.0,8.0,5.0,22.0,0.0,2.0,0.0,0.0,5.0,5.0,25.0,14.0,5.0,0.0,2.0,4.0,1.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,84.0,16.0,0.0,0.0,13.0,2.0,1.0,15.0
6,1256244530.0,2.0,33.0,45.0,0.0,15.0,0.0,2.0,86.0,1.0,20.0,0.0,30.0,7.0,40.0,72.0,20.0,26.0,69.0,26.0,131.0,33.0,6.0,1.0,30.0,5.0,215.0,0.0,29.0,46.0,10.0,60.0,488.0,0.0,9.0,576.0,3.0,7.0,362.0,174.0,78.0,53.0,57.0,0.0,73.0,162.0,4.0,75.0,6.0,128.0,0.0,8.0,6.0,29.0,0.0,2.0,490.0,190.0,9.0,41.0,54.0,83.0,39.0,74.0,19.0,5.0,0.0,3.0,0.0,2.0,10.0,12.0,0.0,2.0,305.0,0.0,6.0,42.0,43.0,29.0,51.0,116.0,2.0,2.0,4.0,19.0,5.0,34.0,20.0,20.0,0.0,0.0,7.0,42.0,4.0,0.0,28.0,160.0,0.0,2.0,7.0,14.0,322.0,1.0,3.0,4.0,0.0,178.0,6.0,228.0,49.0,15.0,7.0,14.0,7.0,7.0,0.0,1.0,31.0,0.0,0.0,0.0,4.0,3.0,0.0,69.0,0.0,657.0,32.0,268.0,0.0,10.0,4.0,3.0,17.0
7,1285599488.0,6.0,2.0,2.0,3.0,3.0,2.0,0.0,6.0,0.0,1.0,1.0,2.0,0.0,3.0,4.0,0.0,4.0,5.0,0.0,2.0,3.0,2.0,0.0,0.0,1.0,8.0,12.0,0.0,9.0,0.0,3.0,1.0,6.0,1.0,3.0,0.0,33.0,6.0,2.0,0.0,0.0,3.0,7.0,3.0,5.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,2.0,1.0,2.0,1.0,4.0,2.0,5.0,4.0,13.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,12.0,1.0,4.0,6.0,5.0,0.0,0.0,1.0,1.0,3.0,2.0,1.0,0.0,0.0,8.0,1.0,3.0,1.0,0.0,3.0,1.0,0.0,1.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,16.0,9.0,2.0,0.0,0.0,1.0,52.0,0.0,45.0,0.0,3.0,0.0,0.0,0.0,30.0,1.0,0.0,0.0,0.0,9.0,5.0,0.0,1.0,1.0,2.0,0.0,4.0
8,1304602711.0,224.0,100.0,45.0,93.0,51.0,86.0,6.0,0.0,0.0,62.0,8.0,32.0,10.0,567.0,57.0,22.0,174.0,317.0,23.0,57.0,469.0,12.0,1.0,13.0,36.0,270.0,10.0,22.0,60.0,5.0,58.0,17.0,0.0,40.0,26.0,0.0,19.0,142.0,60.0,29.0,16.0,61.0,2.0,70.0,144.0,9.0,44.0,15.0,100.0,0.0,5.0,154.0,78.0,0.0,1.0,51.0,54.0,24.0,52.0,50.0,19.0,35.0,78.0,81.0,12.0,1.0,8.0,0.0,1.0,10.0,9.0,0.0,7.0,58.0,1.0,9.0,249.0,37.0,83.0,113.0,111.0,7.0,9.0,12.0,121.0,68.0,24.0,12.0,21.0,0.0,1.0,6.0,52.0,3.0,2.0,31.0,8.0,0.0,5.0,14.0,9.0,53.0,0.0,3.0,0.0,0.0,38.0,7.0,120.0,65.0,12.0,5.0,12.0,14.0,5.0,2.0,1.0,80.0,0.0,0.0,0.0,12.0,14.0,0.0,12.0,0.0,320.0,228.0,3.0,8.0,28.0,9.0,1.0,24.0
9,1370886721.0,0.0,1.0,15.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,84.0,0.0,0.0,51.0,24.0,0.0,1.0,11.0,1.0,0.0,0.0,15.0,1.0,0.0,10.0,0.0,61.0,0.0,108.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,138.0,15.0,0.0,36.0,96.0,0.0,34.0,17.0,39.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,10.0,33.0,1.0,36.0,81.0,0.0,0.0,0.0,0.0,6.0,4.0,51.0,97.0,0.0,0.0,0.0,14.0,1.0,0.0,8.0,0.0,1.0,115.0,0.0,0.0,0.0,0.0,0.0,35.0,40.0,0.0,0.0,0.0,3.0,8.0,63.0,0.0,67.0,0.0,0.0,11.0,25.0,32.0,1.0,2.0,55.0,0.0,0.0,1.0,0.0,2.0,54.0,7.0,29.0,34.0,0.0,12.0,0.0,0.0,0.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,1484838398.0,1.0,45.0,11.0,0.0,10.0,20.0,1.0,62.0,0.0,0.0,0.0,14.0,4.0,11.0,12.0,12.0,3.0,5.0,6.0,24.0,24.0,1.0,0.0,2.0,4.0,54.0,0.0,1.0,25.0,1.0,19.0,2.0,0.0,18.0,1.0,0.0,1.0,43.0,25.0,2.0,3.0,17.0,0.0,27.0,27.0,2.0,12.0,0.0,22.0,0.0,0.0,11.0,41.0,0.0,0.0,10.0,15.0,8.0,15.0,16.0,3.0,5.0,17.0,13.0,5.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,8.0,0.0,2.0,12.0,10.0,30.0,66.0,23.0,3.0,5.0,25.0,27.0,1.0,10.0,2.0,1.0,0.0,0.0,0.0,9.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,11.0,0.0,1.0,0.0,0.0,8.0,0.0,19.0,30.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,7.0,0.0,2.0,0.0,77.0,5.0,1.0,1.0,22.0,13.0,0.0,2.0
11,1577272964.0,19.0,0.0,1.0,32.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0,26.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,4.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,12.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,21.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
12,1617405097.0,1.0,23.0,38.0,0.0,15.0,30.0,2.0,32.0,84.0,14.0,0.0,0.0,2.0,10.0,75.0,38.0,6.0,17.0,32.0,13.0,13.0,2.0,16.0,6.0,3.0,55.0,0.0,68.0,21.0,87.0,86.0,5.0,0.0,8.0,10.0,0.0,3.0,47.0,30.0,14.0,145.0,47.0,0.0,74.0,133.0,1.0,50.0,25.0,71.0,0.0,6.0,7.0,16.0,0.0,1.0,23.0,29.0,10.0,39.0,52.0,13.0,60.0,118.0,3.0,4.0,0.0,3.0,11.0,6.0,50.0,91.0,0.0,2.0,16.0,14.0,8.0,16.0,25.0,17.0,25.0,143.0,2.0,1.0,5.0,12.0,2.0,51.0,49.0,4.0,0.0,0.0,9.0,32.0,66.0,2.0,81.0,5.0,0.0,12.0,31.0,40.0,23.0,2.0,56.0,0.0,0.0,18.0,4.0,31.0,76.0,14.0,37.0,49.0,2.0,18.0,0.0,0.0,19.0,4.0,3.0,0.0,1.0,4.0,0.0,4.0,1.0,62.0,10.0,0.0,0.0,10.0,3.0,1.0,12.0
13,1690971836.0,0.0,3.0,8.0,0.0,2.0,7.0,0.0,10.0,0.0,4.0,0.0,2.0,0.0,1.0,7.0,2.0,5.0,4.0,3.0,4.0,4.0,0.0,2.0,2.0,1.0,13.0,1.0,2.0,4.0,1.0,6.0,2.0,0.0,0.0,2.0,0.0,1.0,10.0,8.0,7.0,5.0,6.0,0.0,6.0,13.0,0.0,8.0,2.0,8.0,0.0,1.0,1.0,3.0,0.0,1.0,6.0,7.0,0.0,4.0,9.0,2.0,4.0,10.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,9.0,0.0,0.0,5.0,5.0,2.0,4.0,12.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,1.0,5.0,1.0,0.0,6.0,1.0,0.0,1.0,1.0,2.0,4.0,0.0,0.0,0.0,0.0,6.0,1.0,10.0,7.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,13.0,2.0,1.0,0.0,1.0,1.0,0.0,4.0
14,170227238.0,7.0,38.0,13.0,2.0,20.0,40.0,3.0,567.0,0.0,11.0,1.0,10.0,1.0,0.0,25.0,7.0,26.0,159.0,2.0,28.0,13.0,3.0,2.0,5.0,11.0,92.0,2.0,16.0,26.0,1.0,21.0,6.0,0.0,32.0,25.0,1.0,10.0,50.0,11.0,7.0,7.0,29.0,1.0,12.0,70.0,2.0,8.0,5.0,38.0,0.0,1.0,4.0,22.0,0.0,0.0,21.0,13.0,12.0,19.0,11.0,8.0,19.0,28.0,15.0,6.0,0.0,2.0,0.0,0.0,1.0,7.0,0.0,0.0,19.0,2.0,1.0,66.0,5.0,32.0,24.0,34.0,6.0,1.0,3.0,94.0,12.0,9.0,4.0,17.0,0.0,1.0,1.0,22.0,1.0,1.0,19.0,6.0,0.0,5.0,9.0,2.0,22.0,0.0,0.0,0.0,0.0,13.0,4.0,38.0,9.0,3.0,0.0,2.0,4.0,1.0,1.0,0.0,24.0,0.0,0.0,0.0,2.0,5.0,0.0,4.0,0.0,101.0,59.0,1.0,3.0,7.0,5.0,0.0,16.0
15,179635048.0,1.0,23.0,65.0,0.0,22.0,72.0,4.0,57.0,51.0,12.0,0.0,75.0,7.0,25.0,0.0,38.0,15.0,39.0,44.0,51.0,23.0,2.0,15.0,11.0,6.0,115.0,1.0,69.0,30.0,67.0,91.0,24.0,0.0,7.0,26.0,0.0,4.0,93.0,37.0,24.0,114.0,74.0,0.0,96.0,188.0,1.0,78.0,18.0,98.0,0.0,6.0,7.0,27.0,0.0,1.0,54.0,48.0,11.0,50.0,73.0,25.0,83.0,139.0,6.0,3.0,0.0,2.0,10.0,7.0,57.0,74.0,0.0,3.0,49.0,15.0,7.0,21.0,38.0,31.0,29.0,146.0,1.0,1.0,3.0,11.0,3.0,67.0,51.0,5.0,0.0,0.0,21.0,48.0,42.0,0.0,85.0,12.0,0.0,18.0,32.0,42.0,47.0,5.0,36.0,0.0,0.0,37.0,6.0,72.0,76.0,24.0,36.0,48.0,8.0,20.0,0.0,1.0,29.0,5.0,4.0,0.0,3.0,3.0,0.0,11.0,1.0,131.0,23.0,6.0,0.0,10.0,4.0,1.0,21.0
16,1896903314.0,0.0,17.0,19.0,0.0,5.0,20.0,0.0,22.0,24.0,12.0,0.0,38.0,2.0,7.0,38.0,0.0,2.0,6.0,19.0,12.0,9.0,1.0,8.0,4.0,0.0,33.0,0.0,25.0,12.0,23.0,44.0,5.0,0.0,8.0,6.0,0.0,1.0,29.0,26.0,5.0,38.0,24.0,0.0,35.0,59.0,1.0,30.0,9.0,36.0,0.0,1.0,8.0,13.0,0.0,0.0,17.0,25.0,8.0,21.0,29.0,11.0,25.0,44.0,1.0,2.0,0.0,0.0,6.0,4.0,20.0,28.0,0.0,0.0,16.0,7.0,4.0,7.0,19.0,5.0,22.0,51.0,3.0,2.0,4.0,11.0,0.0,25.0,18.0,3.0,0.0,0.0,2.0,20.0,22.0,2.0,26.0,1.0,0.0,6.0,6.0,17.0,16.0,2.0,15.0,0.0,0.0,14.0,0.0,19.0,35.0,11.0,15.0,17.0,0.0,8.0,0.0,0.0,12.0,3.0,2.0,0.0,1.0,5.0,0.0,4.0,1.0,35.0,8.0,1.0,0.0,5.0,0.0,0.0,2.0
17,203779960.0,191.0,15.0,10.0,132.0,8.0,26.0,4.0,174.0,0.0,3.0,8.0,6.0,5.0,26.0,15.0,2.0,0.0,303.0,3.0,9.0,55.0,12.0,0.0,6.0,22.0,113.0,8.0,1.0,21.0,1.0,14.0,1.0,0.0,5.0,3.0,1.0,20.0,33.0,12.0,6.0,3.0,16.0,0.0,9.0,41.0,10.0,10.0,3.0,28.0,0.0,0.0,22.0,11.0,0.0,1.0,10.0,11.0,2.0,8.0,18.0,12.0,11.0,15.0,122.0,5.0,3.0,14.0,0.0,1.0,1.0,2.0,0.0,1.0,8.0,0.0,2.0,292.0,16.0,11.0,22.0,33.0,1.0,0.0,1.0,6.0,99.0,1.0,3.0,2.0,0.0,0.0,5.0,14.0,1.0,0.0,4.0,2.0,0.0,2.0,0.0,2.0,9.0,0.0,1.0,0.0,0.0,9.0,1.0,61.0,11.0,2.0,0.0,0.0,5.0,1.0,1.0,1.0,13.0,0.0,0.0,0.0,9.0,0.0,0.0,1.0,0.0,87.0,35.0,1.0,9.0,3.0,8.0,0.0,6.0
18,2150214601.0,247.0,24.0,29.0,338.0,41.0,69.0,5.0,317.0,1.0,5.0,26.0,17.0,4.0,159.0,39.0,6.0,303.0,0.0,5.0,41.0,39.0,16.0,2.0,19.0,33.0,333.0,23.0,14.0,32.0,4.0,43.0,17.0,0.0,11.0,30.0,2.0,26.0,100.0,45.0,18.0,20.0,55.0,3.0,32.0,134.0,8.0,36.0,12.0,73.0,0.0,3.0,19.0,29.0,0.0,2.0,39.0,32.0,7.0,19.0,34.0,20.0,26.0,63.0,269.0,11.0,3.0,38.0,0.0,3.0,4.0,15.0,0.0,3.0,52.0,1.0,4.0,864.0,21.0,37.0,34.0,111.0,4.0,0.0,3.0,23.0,236.0,11.0,19.0,7.0,0.0,1.0,9.0,28.0,3.0,1.0,34.0,7.0,0.0,7.0,9.0,11.0,44.0,1.0,2.0,2.0,0.0,30.0,3.0,175.0,33.0,9.0,7.0,4.0,11.0,4.0,3.0,1.0,26.0,0.0,0.0,0.0,15.0,1.0,0.0,9.0,0.0,264.0,48.0,1.0,17.0,5.0,8.0,1.0,19.0
