,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114
0,-1.0,101025116.0,106029646.0,108159530.0,108260950.0,11154672.0,1222981010.0,125881355.0,131663365.0,135615769.0,1371182078.0,1428723187.0,1457277780.0,14601059.0,1494676476.0,154207904.0,155500681.0,1572684776.0,15775638.0,161662833.0,164958548.0,1651092140.0,169611989.0,171523731.0,173338012.0,17815227.0,18594633.0,18711950.0,1907606924.0,1973534665.0,208580134.0,216281736.0,220513006.0,2223441113.0,22248435.0,223415493.0,236906665.0,2388956744.0,2426789514.0,2439619294.0,2470134087.0,2553817934.0,2585049200.0,26053105.0,261323160.0,26834533.0,272330166.0,2776546274.0,2844883614.0,284867370.0,286625089.0,2870116652.0,288198163.0,2927393060.0,293439622.0,295655540.0,301006322.0,3046210884.0,3051062461.0,306052324.0,3067488230.0,3071473338.0,3099593731.0,319485185.0,333948601.0,33831672.0,3389726902.0,342020125.0,349591940.0,3504852853.0,366954553.0,368798482.0,380211327.0,38457163.0,395744988.0,3980995932.0,4110572473.0,4123467793.0,43327755.0,433793763.0,43497881.0,43725438.0,44434107.0,4445175263.0,45527762.0,4727060534.0,4759411316.0,4778548693.0,4817908039.0,535883849.0,564336016.0,576065589.0,58132430.0,59146843.0,60936786.0,609921923.0,7.035658628007485e+17,72845927.0,7.306828194674483e+17,73458750.0,74165111.0,74518333.0,763474394.0,77629833.0,805371992.0,8.362709640695316e+17,8.422416476855624e+17,868454990.0,8.72030349034967e+17,897521796.0,905598776.0,92727026.0,9.285858497755955e+17,93573953.0,955147808.0
1,101025116.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,3.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,2.0,0.0,1.0,0.0,7.0,1.0,0.0,0.0,1.0,0.0,0.0,4.0,1.0,0.0,1.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,5.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,6.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0
2,106029646.0,0.0,0.0,7.0,0.0,2.0,2.0,0.0,0.0,0.0,6.0,0.0,11.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,3.0,3.0,0.0,3.0,6.0,4.0,0.0,14.0,14.0,3.0,0.0,9.0,5.0,1.0,0.0,6.0,0.0,1.0,10.0,5.0,2.0,4.0,26.0,17.0,0.0,10.0,2.0,0.0,1.0,3.0,5.0,2.0,0.0,6.0,2.0,2.0,2.0,0.0,10.0,5.0,0.0,4.0,0.0,1.0,1.0,2.0,2.0,4.0,0.0,4.0,0.0,17.0,0.0,2.0,0.0,2.0,0.0,5.0,1.0,0.0,0.0,1.0,1.0,2.0,1.0,3.0,0.0,6.0,0.0,2.0,6.0,0.0,4.0,1.0,1.0,3.0,2.0,1.0,0.0,8.0,6.0,1.0,5.0,0.0,0.0,2.0,7.0,2.0,1.0,1.0,2.0,0.0
3,108159530.0,0.0,7.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,8.0,0.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,3.0,2.0,0.0,2.0,6.0,5.0,0.0,12.0,8.0,2.0,0.0,6.0,5.0,0.0,0.0,7.0,0.0,1.0,4.0,1.0,0.0,4.0,35.0,11.0,0.0,2.0,1.0,0.0,0.0,3.0,1.0,2.0,1.0,6.0,0.0,0.0,2.0,0.0,5.0,9.0,0.0,7.0,0.0,1.0,1.0,1.0,2.0,3.0,0.0,5.0,0.0,13.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,3.0,0.0,4.0,0.0,2.0,8.0,0.0,3.0,1.0,2.0,1.0,2.0,1.0,0.0,5.0,7.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,2.0,0.0
4,108260950.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,13.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,9.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,1.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,10.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9.0,0.0,12.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,1.0,5.0,0.0,3.0
5,11154672.0,1.0,2.0,1.0,0.0,0.0,1.0,5.0,1.0,1.0,3.0,0.0,67.0,27.0,7.0,0.0,0.0,37.0,5.0,0.0,8.0,29.0,0.0,9.0,3.0,1.0,3.0,39.0,33.0,0.0,5.0,2.0,8.0,13.0,30.0,89.0,1.0,5.0,22.0,0.0,14.0,38.0,28.0,2.0,24.0,3.0,6.0,16.0,1.0,1.0,0.0,5.0,5.0,6.0,2.0,0.0,5.0,22.0,4.0,0.0,2.0,4.0,14.0,2.0,8.0,0.0,1.0,17.0,12.0,31.0,43.0,3.0,7.0,0.0,28.0,1.0,6.0,4.0,3.0,0.0,9.0,2.0,0.0,0.0,1.0,17.0,2.0,34.0,3.0,0.0,5.0,1.0,5.0,25.0,1.0,14.0,12.0,10.0,37.0,1.0,3.0,2.0,5.0,1.0,1.0,1.0,3.0,0.0,15.0,4.0,0.0,3.0,23.0,1.0,18.0
6,1222981010.0,0.0,2.0,1.0,0.0,1.0,0.0,2.0,3.0,1.0,1.0,1.0,3.0,4.0,0.0,1.0,0.0,0.0,0.0,4.0,7.0,0.0,0.0,1.0,0.0,1.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,1.0,1.0,5.0,1.0,0.0,0.0,1.0,2.0,10.0,0.0,1.0,4.0,0.0,0.0,9.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,1.0,0.0,8.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,125881355.0,2.0,0.0,0.0,1.0,5.0,2.0,0.0,1.0,1.0,1.0,0.0,9.0,7.0,2.0,0.0,0.0,9.0,2.0,0.0,9.0,11.0,0.0,4.0,1.0,1.0,1.0,20.0,1.0,0.0,1.0,0.0,5.0,3.0,12.0,8.0,0.0,3.0,4.0,0.0,6.0,16.0,5.0,0.0,5.0,2.0,3.0,0.0,0.0,2.0,0.0,2.0,4.0,2.0,1.0,0.0,0.0,11.0,5.0,0.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,4.0,6.0,9.0,11.0,0.0,4.0,0.0,10.0,1.0,4.0,1.0,4.0,0.0,4.0,3.0,0.0,0.0,0.0,3.0,1.0,3.0,2.0,1.0,2.0,1.0,3.0,22.0,1.0,11.0,6.0,3.0,1.0,0.0,6.0,1.0,9.0,1.0,0.0,0.0,1.0,0.0,5.0,3.0,0.0,2.0,10.0,0.0,9.0
8,131663365.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,1.0,2.0,0.0,7.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,1.0,0.0,0.0,2.0,10.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,2.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,11.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,135615769.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,1371182078.0,0.0,6.0,8.0,0.0,3.0,1.0,1.0,2.0,1.0,0.0,0.0,9.0,12.0,2.0,3.0,0.0,0.0,1.0,1.0,7.0,2.0,1.0,4.0,6.0,0.0,2.0,11.0,2.0,0.0,7.0,4.0,2.0,0.0,21.0,5.0,1.0,0.0,8.0,0.0,3.0,14.0,8.0,1.0,3.0,16.0,13.0,0.0,0.0,1.0,0.0,1.0,31.0,10.0,2.0,1.0,2.0,3.0,2.0,0.0,2.0,5.0,3.0,0.0,7.0,0.0,0.0,2.0,4.0,2.0,4.0,0.0,2.0,0.0,14.0,0.0,6.0,0.0,3.0,0.0,4.0,3.0,0.0,0.0,1.0,3.0,2.0,3.0,5.0,0.0,15.0,2.0,5.0,12.0,1.0,5.0,1.0,0.0,2.0,2.0,1.0,0.0,15.0,2.0,3.0,2.0,0.0,0.0,1.0,7.0,0.0,3.0,1.0,1.0,2.0
11,1428723187.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,1457277780.0,0.0,11.0,3.0,3.0,67.0,3.0,9.0,7.0,1.0,9.0,0.0,0.0,37.0,10.0,3.0,1.0,48.0,6.0,0.0,46.0,38.0,0.0,15.0,27.0,1.0,13.0,86.0,32.0,0.0,18.0,10.0,11.0,14.0,72.0,83.0,1.0,6.0,36.0,0.0,24.0,72.0,32.0,1.0,25.0,16.0,28.0,15.0,2.0,7.0,0.0,11.0,12.0,17.0,4.0,0.0,7.0,42.0,8.0,5.0,2.0,17.0,18.0,2.0,20.0,0.0,1.0,18.0,20.0,45.0,54.0,4.0,17.0,0.0,68.0,7.0,11.0,2.0,17.0,0.0,19.0,5.0,0.0,0.0,1.0,19.0,5.0,33.0,11.0,2.0,13.0,1.0,9.0,73.0,4.0,35.0,18.0,17.0,35.0,3.0,10.0,4.0,57.0,3.0,2.0,1.0,7.0,0.0,22.0,11.0,2.0,12.0,25.0,2.0,15.0
13,14601059.0,4.0,6.0,2.0,0.0,27.0,4.0,7.0,18.0,1.0,12.0,0.0,37.0,0.0,5.0,5.0,0.0,37.0,8.0,1.0,50.0,38.0,0.0,16.0,12.0,6.0,26.0,75.0,9.0,0.0,21.0,6.0,15.0,13.0,108.0,30.0,2.0,3.0,32.0,0.0,35.0,74.0,31.0,2.0,15.0,18.0,23.0,1.0,1.0,3.0,0.0,4.0,16.0,19.0,6.0,0.0,7.0,28.0,6.0,3.0,2.0,12.0,15.0,2.0,21.0,0.0,1.0,12.0,20.0,37.0,45.0,0.0,14.0,0.0,54.0,1.0,9.0,4.0,13.0,0.0,20.0,8.0,0.0,0.0,2.0,7.0,3.0,7.0,9.0,4.0,23.0,0.0,14.0,59.0,3.0,28.0,8.0,11.0,14.0,3.0,7.0,2.0,33.0,5.0,2.0,2.0,4.0,0.0,14.0,9.0,1.0,6.0,28.0,2.0,25.0
14,1494676476.0,0.0,1.0,0.0,0.0,7.0,0.0,2.0,0.0,0.0,2.0,0.0,10.0,5.0,0.0,1.0,0.0,7.0,1.0,0.0,5.0,6.0,0.0,5.0,5.0,0.0,1.0,10.0,5.0,0.0,1.0,1.0,1.0,0.0,6.0,8.0,1.0,3.0,3.0,0.0,3.0,8.0,3.0,1.0,7.0,1.0,2.0,1.0,0.0,0.0,0.0,2.0,1.0,6.0,1.0,0.0,0.0,3.0,4.0,1.0,1.0,2.0,1.0,1.0,2.0,0.0,0.0,3.0,5.0,5.0,6.0,0.0,1.0,0.0,5.0,2.0,3.0,1.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,5.0,0.0,7.0,1.0,2.0,2.0,0.0,3.0,11.0,0.0,9.0,3.0,2.0,5.0,0.0,1.0,0.0,3.0,1.0,1.0,1.0,2.0,0.0,5.0,2.0,0.0,3.0,5.0,0.0,3.0
15,154207904.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,3.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,1.0,2.0,1.0,7.0,8.0,2.0,0.0,18.0,1.0,1.0,0.0,8.0,1.0,3.0,0.0,6.0,0.0,1.0,4.0,3.0,1.0,2.0,20.0,35.0,0.0,2.0,2.0,0.0,0.0,4.0,4.0,26.0,0.0,0.0,5.0,0.0,1.0,0.0,10.0,2.0,0.0,5.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,3.0,0.0,7.0,0.0,2.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,5.0,10.0,1.0,4.0,12.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,9.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
16,155500681.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,1572684776.0,1.0,0.0,0.0,6.0,37.0,0.0,9.0,0.0,0.0,0.0,0.0,48.0,37.0,7.0,0.0,0.0,0.0,4.0,0.0,11.0,68.0,1.0,11.0,6.0,0.0,1.0,104.0,18.0,0.0,4.0,0.0,11.0,23.0,43.0,45.0,0.0,9.0,33.0,0.0,17.0,90.0,48.0,0.0,20.0,0.0,2.0,6.0,0.0,1.0,0.0,6.0,2.0,4.0,0.0,0.0,5.0,43.0,10.0,0.0,1.0,6.0,21.0,3.0,6.0,0.0,0.0,11.0,20.0,50.0,96.0,8.0,15.0,0.0,47.0,7.0,4.0,7.0,1.0,0.0,9.0,3.0,0.0,0.0,0.0,11.0,2.0,15.0,1.0,2.0,5.0,0.0,4.0,24.0,0.0,46.0,21.0,19.0,27.0,0.0,4.0,0.0,6.0,1.0,0.0,0.0,16.0,0.0,18.0,5.0,0.0,6.0,60.0,0.0,31.0
18,15775638.0,0.0,0.0,0.0,0.0,5.0,0.0,2.0,0.0,1.0,1.0,0.0,6.0,8.0,1.0,0.0,0.0,4.0,0.0,0.0,2.0,7.0,0.0,3.0,0.0,0.0,1.0,13.0,0.0,0.0,4.0,0.0,4.0,2.0,16.0,6.0,0.0,2.0,3.0,0.0,5.0,11.0,2.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,0.0,0.0,0.0,7.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,4.0,3.0,5.0,8.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,6.0,1.0,0.0,0.0,0.0,4.0,2.0,1.0,1.0,0.0,1.0,0.0,2.0,8.0,0.0,7.0,4.0,2.0,2.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,3.0,0.0,3.0,3.0,0.0,1.0,4.0,0.0,5.0
19,161662833.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,25.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
