,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116
0,-1.0,1000646516.0,108520642.0,1110840294.0,111901848.0,117648035.0,12156672.0,121716202.0,122322961.0,122947803.0,127827443.0,128547430.0,130027649.0,1309690194.0,1316763114.0,1354594075.0,136522872.0,1372440206.0,138278423.0,140260175.0,14309415.0,1434246793.0,14428536.0,145602070.0,146900193.0,152205174.0,15657091.0,158976808.0,163753516.0,164666306.0,164700268.0,16470319.0,16542463.0,166018695.0,169085447.0,16947322.0,176493834.0,187752663.0,200083361.0,218192899.0,22243745.0,223721302.0,2261276785.0,23016462.0,233627103.0,237564988.0,237598493.0,239262644.0,2426665586.0,244051691.0,24728451.0,2473190790.0,25026233.0,2547040466.0,256882565.0,257509172.0,27177833.0,282916645.0,321312701.0,326508344.0,337622533.0,339133919.0,356894876.0,36292651.0,36453220.0,36937792.0,371088454.0,383827372.0,39024549.0,39182840.0,39807785.0,40271591.0,40457158.0,42778117.0,43081356.0,43681750.0,450519715.0,4523161587.0,4677857995.0,519278044.0,521382536.0,52356199.0,5353072.0,554068108.0,595387432.0,60541562.0,608866235.0,61211437.0,614694299.0,61673414.0,61927602.0,622540432.0,62972086.0,63069724.0,63789515.0,64694303.0,66270410.0,68431771.0,70914180.0,72161620.0,72315090.0,72480943.0,7.361332612487291e+17,76026916.0,77187387.0,772051465.0,77435960.0,7.769584515828408e+17,79382630.0,80874374.0,82943260.0,84209996.0,85580306.0,92024686.0,95133471.0,95623358.0,9595722.0
1,1000646516.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
2,108520642.0,0.0,0.0,2.0,0.0,0.0,7.0,8.0,1.0,4.0,13.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,7.0,3.0,6.0,2.0,0.0,2.0,2.0,0.0,3.0,0.0,2.0,1.0,0.0,2.0,0.0,4.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,17.0,3.0,3.0,1.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,5.0,3.0,1.0,3.0,0.0,15.0,3.0,9.0,1.0,2.0,5.0,14.0,2.0,4.0,17.0,2.0,0.0,4.0,1.0,0.0,5.0,0.0,0.0,5.0,2.0,0.0,9.0,2.0,1.0,1.0,5.0,1.0,3.0,4.0,0.0,0.0,0.0,1.0,3.0,10.0,4.0,0.0,4.0,4.0,0.0,1.0,0.0,0.0,0.0,8.0,2.0,1.0,0.0,2.0,0.0,1.0
3,1110840294.0,0.0,2.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,20.0,2.0,2.0,4.0,1.0,1.0,0.0,1.0,3.0,13.0,5.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,7.0,0.0,1.0,1.0,0.0,12.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,6.0,1.0,1.0,1.0,1.0,0.0,5.0,1.0,0.0,0.0,4.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,21.0,5.0,2.0,1.0,0.0,2.0,3.0,0.0,1.0,6.0,4.0,0.0,6.0,1.0,0.0,1.0,0.0,0.0,3.0,1.0,1.0,4.0,1.0,1.0,0.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,5.0,1.0,0.0,0.0,1.0,0.0,1.0
4,111901848.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0
5,117648035.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,1.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,6.0,0.0,5.0,10.0,0.0,1.0,4.0,2.0,1.0,1.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0
6,12156672.0,0.0,7.0,2.0,0.0,0.0,0.0,1.0,0.0,7.0,11.0,18.0,1.0,0.0,30.0,97.0,10.0,1.0,1.0,1.0,6.0,43.0,229.0,95.0,1.0,76.0,61.0,8.0,2.0,20.0,59.0,17.0,22.0,1.0,1.0,2.0,5.0,37.0,16.0,0.0,10.0,15.0,0.0,33.0,66.0,77.0,1.0,1.0,59.0,1.0,2.0,6.0,0.0,0.0,1.0,1.0,30.0,8.0,91.0,0.0,36.0,15.0,8.0,112.0,50.0,0.0,18.0,3.0,128.0,7.0,0.0,3.0,3.0,51.0,2.0,15.0,70.0,0.0,5.0,29.0,18.0,54.0,2.0,0.0,77.0,13.0,0.0,95.0,173.0,63.0,0.0,124.0,35.0,71.0,108.0,47.0,28.0,45.0,97.0,85.0,121.0,226.0,20.0,4.0,2.0,12.0,67.0,0.0,0.0,8.0,6.0,43.0,50.0,1.0,40.0,0.0,383.0
7,121716202.0,0.0,8.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,3.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,5.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,3.0,6.0,15.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,17.0,1.0,1.0,14.0,1.0,1.0,0.0,1.0,1.0,3.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0
8,122322961.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,6.0,1.0,2.0,0.0,0.0,1.0,0.0,6.0,2.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,3.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,43.0,0.0,1.0,0.0,0.0,0.0,1.0
9,122947803.0,0.0,4.0,1.0,0.0,0.0,7.0,0.0,0.0,0.0,23.0,2.0,6.0,2.0,0.0,1.0,0.0,0.0,2.0,0.0,5.0,3.0,5.0,4.0,1.0,6.0,2.0,0.0,4.0,1.0,7.0,1.0,0.0,2.0,3.0,8.0,0.0,10.0,1.0,1.0,0.0,1.0,0.0,17.0,14.0,1.0,0.0,0.0,10.0,6.0,1.0,0.0,1.0,0.0,0.0,2.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,25.0,11.0,14.0,3.0,1.0,4.0,4.0,0.0,0.0,27.0,14.0,2.0,12.0,0.0,1.0,1.0,0.0,0.0,17.0,1.0,1.0,10.0,1.0,3.0,0.0,1.0,16.0,2.0,3.0,1.0,0.0,1.0,9.0,4.0,11.0,14.0,0.0,7.0,1.0,0.0,1.0,0.0,0.0,0.0,12.0,3.0,2.0,0.0,6.0,0.0,5.0
10,127827443.0,1.0,13.0,20.0,0.0,2.0,11.0,1.0,1.0,23.0,0.0,5.0,9.0,26.0,1.0,2.0,2.0,1.0,20.0,107.0,14.0,3.0,20.0,9.0,0.0,16.0,2.0,4.0,19.0,2.0,11.0,2.0,1.0,74.0,17.0,97.0,0.0,9.0,2.0,0.0,0.0,6.0,0.0,34.0,23.0,3.0,1.0,1.0,10.0,16.0,2.0,0.0,1.0,68.0,2.0,2.0,7.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,4.0,1.0,451.0,27.0,30.0,2.0,11.0,6.0,17.0,1.0,7.0,98.0,15.0,0.0,23.0,5.0,2.0,15.0,0.0,2.0,16.0,3.0,0.0,23.0,6.0,6.0,0.0,5.0,12.0,11.0,6.0,2.0,0.0,0.0,17.0,9.0,22.0,26.0,2.0,8.0,1.0,1.0,5.0,0.0,5.0,1.0,23.0,7.0,6.0,0.0,4.0,0.0,12.0
11,128547430.0,0.0,2.0,2.0,0.0,0.0,18.0,2.0,1.0,2.0,5.0,0.0,1.0,0.0,10.0,27.0,3.0,2.0,1.0,2.0,3.0,2.0,22.0,20.0,0.0,21.0,14.0,0.0,2.0,8.0,23.0,9.0,6.0,0.0,2.0,1.0,0.0,7.0,2.0,0.0,1.0,6.0,0.0,6.0,22.0,11.0,1.0,1.0,21.0,3.0,2.0,9.0,2.0,0.0,1.0,1.0,7.0,4.0,13.0,0.0,7.0,3.0,1.0,4.0,4.0,0.0,4.0,5.0,18.0,1.0,0.0,0.0,4.0,4.0,2.0,7.0,24.0,0.0,3.0,9.0,13.0,18.0,1.0,0.0,17.0,5.0,1.0,22.0,27.0,6.0,0.0,16.0,12.0,30.0,8.0,11.0,2.0,7.0,13.0,21.0,25.0,24.0,11.0,3.0,1.0,7.0,17.0,0.0,0.0,1.0,5.0,9.0,9.0,0.0,13.0,0.0,12.0
12,130027649.0,1.0,2.0,2.0,0.0,4.0,1.0,0.0,2.0,6.0,9.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,1.0,3.0,0.0,0.0,5.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,2.0,0.0,6.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,9.0,9.0,1.0,3.0,1.0,5.0,6.0,2.0,0.0,1.0,1.0,0.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,9.0,9.0,4.0,25.0,0.0,41.0,31.0,0.0,1.0,8.0,5.0,1.0,8.0,5.0,0.0,0.0,0.0,0.0,6.0,0.0,12.0,7.0,1.0,1.0,0.0,1.0,5.0,0.0,0.0,1.0,0.0,0.0,5.0,2.0,8.0,7.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,0.0,0.0,3.0,0.0,4.0
13,1309690194.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,8.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,12.0,7.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,3.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
14,1316763114.0,0.0,2.0,1.0,0.0,0.0,30.0,1.0,0.0,0.0,1.0,10.0,0.0,0.0,0.0,36.0,8.0,1.0,0.0,1.0,1.0,3.0,26.0,21.0,0.0,34.0,12.0,5.0,0.0,11.0,26.0,4.0,13.0,0.0,0.0,0.0,0.0,15.0,10.0,0.0,2.0,8.0,0.0,6.0,18.0,24.0,1.0,1.0,20.0,0.0,1.0,7.0,0.0,0.0,1.0,1.0,5.0,5.0,18.0,0.0,15.0,14.0,2.0,10.0,19.0,0.0,2.0,0.0,18.0,1.0,0.0,1.0,3.0,9.0,1.0,1.0,29.0,0.0,0.0,6.0,8.0,20.0,0.0,0.0,24.0,3.0,0.0,20.0,43.0,20.0,0.0,40.0,8.0,27.0,25.0,19.0,12.0,4.0,19.0,26.0,33.0,44.0,7.0,1.0,1.0,7.0,13.0,0.0,0.0,3.0,1.0,10.0,19.0,0.0,16.0,0.0,21.0
15,1354594075.0,0.0,1.0,1.0,0.0,0.0,97.0,1.0,0.0,1.0,2.0,27.0,1.0,0.0,36.0,0.0,10.0,1.0,0.0,1.0,1.0,52.0,85.0,61.0,1.0,111.0,62.0,5.0,1.0,32.0,82.0,21.0,25.0,0.0,1.0,0.0,4.0,27.0,16.0,0.0,15.0,18.0,0.0,8.0,60.0,79.0,1.0,1.0,62.0,0.0,1.0,11.0,3.0,0.0,1.0,1.0,17.0,9.0,92.0,0.0,39.0,19.0,11.0,35.0,60.0,0.0,2.0,0.0,55.0,1.0,0.0,0.0,1.0,48.0,2.0,2.0,84.0,0.0,0.0,53.0,31.0,59.0,0.0,0.0,84.0,11.0,0.0,65.0,127.0,46.0,0.0,118.0,38.0,98.0,67.0,59.0,40.0,31.0,94.0,56.0,108.0,157.0,60.0,2.0,0.0,13.0,60.0,0.0,0.0,11.0,2.0,36.0,47.0,1.0,38.0,0.0,89.0
16,136522872.0,0.0,1.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,8.0,10.0,0.0,0.0,0.0,0.0,1.0,2.0,9.0,7.0,0.0,14.0,5.0,1.0,0.0,4.0,10.0,1.0,4.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,1.0,3.0,0.0,7.0,5.0,8.0,0.0,0.0,6.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,5.0,4.0,8.0,0.0,7.0,6.0,1.0,5.0,10.0,0.0,2.0,0.0,11.0,0.0,0.0,2.0,1.0,4.0,0.0,2.0,7.0,0.0,1.0,4.0,1.0,7.0,0.0,0.0,7.0,5.0,0.0,10.0,12.0,9.0,0.0,15.0,3.0,7.0,12.0,7.0,6.0,3.0,6.0,12.0,10.0,18.0,2.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,8.0,0.0,7.0,0.0,6.0
17,1372440206.0,0.0,1.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,1.0,3.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,4.0,1.0,0.0,3.0,1.0,1.0,0.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0
18,138278423.0,0.0,2.0,3.0,0.0,5.0,1.0,0.0,2.0,2.0,20.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,20.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,13.0,5.0,13.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,4.0,4.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,34.0,3.0,3.0,0.0,1.0,1.0,3.0,0.0,1.0,14.0,2.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,4.0
19,140260175.0,0.0,1.0,13.0,2.0,1.0,1.0,3.0,0.0,0.0,107.0,2.0,1.0,8.0,1.0,1.0,0.0,2.0,20.0,0.0,3.0,2.0,5.0,2.0,0.0,3.0,0.0,1.0,19.0,0.0,3.0,1.0,0.0,39.0,5.0,22.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,7.0,1.0,6.0,1.0,1.0,0.0,4.0,1.0,0.0,0.0,17.0,3.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,146.0,2.0,5.0,2.0,3.0,3.0,4.0,0.0,6.0,27.0,5.0,1.0,3.0,3.0,0.0,2.0,0.0,0.0,10.0,1.0,0.0,5.0,2.0,1.0,0.0,3.0,3.0,9.0,1.0,0.0,0.0,1.0,5.0,2.0,2.0,4.0,4.0,4.0,1.0,1.0,1.0,0.0,4.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,2.0
20,14309415.0,0.0,7.0,5.0,0.0,1.0,6.0,3.0,0.0,5.0,14.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,0.0,2.0,5.0,2.0,0.0,3.0,2.0,0.0,4.0,1.0,2.0,1.0,1.0,2.0,0.0,7.0,0.0,3.0,1.0,1.0,0.0,1.0,0.0,7.0,5.0,1.0,1.0,2.0,1.0,6.0,2.0,0.0,1.0,0.0,1.0,2.0,4.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,0.0,12.0,8.0,6.0,2.0,1.0,1.0,5.0,0.0,3.0,16.0,6.0,0.0,10.0,1.0,0.0,3.0,0.0,0.0,6.0,2.0,0.0,7.0,1.0,1.0,0.0,2.0,3.0,1.0,3.0,0.0,0.0,0.0,1.0,2.0,8.0,7.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,2.0,0.0,0.0,1.0,0.0,2.0
