,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95
0,-1.0,100717658.0,107445382.0,108658706.0,108938865.0,111116700.0,113009001.0,11430852.0,130081438.0,13011962.0,132102853.0,1401700627.0,140402241.0,1406614448.0,14794005.0,1613467909.0,16658821.0,166861881.0,167786990.0,169951053.0,183446972.0,18488972.0,19056173.0,1946097283.0,20560375.0,208885112.0,21252352.0,2182964016.0,221649838.0,2283621361.0,230469768.0,235597749.0,236017726.0,2376755300.0,240647013.0,241816077.0,245743101.0,24696252.0,247222795.0,24837617.0,255314415.0,268317263.0,268624155.0,2687967240.0,28552047.0,286484621.0,28740563.0,2906197017.0,29153853.0,2943117608.0,295773999.0,2971298278.0,310299026.0,33734835.0,33841072.0,34626356.0,35414291.0,360662287.0,36945684.0,405528120.0,410809934.0,411402689.0,434523258.0,441829446.0,44188505.0,451395108.0,453603539.0,46541290.0,469577427.0,470215245.0,48416262.0,4856763665.0,49310742.0,51463301.0,54081608.0,55583427.0,56286660.0,570675729.0,58666078.0,62059970.0,62770380.0,67205874.0,67568398.0,720560744.0,735556038.0,74659093.0,77162533.0,814863510.0,82041060.0,8.429944427011768e+17,8.600338213784658e+17,864114421.0,89887866.0,90448903.0,9.384205159491748e+17,95538204.0
1,100717658.0,0.0,2.0,1.0,7.0,1.0,1.0,8.0,0.0,1.0,6.0,0.0,3.0,6.0,3.0,3.0,8.0,1.0,5.0,1.0,12.0,5.0,4.0,0.0,3.0,3.0,29.0,5.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,4.0,7.0,2.0,1.0,2.0,8.0,0.0,4.0,9.0,1.0,10.0,0.0,0.0,1.0,0.0,3.0,0.0,3.0,3.0,5.0,3.0,0.0,2.0,0.0,3.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,6.0,1.0,0.0,1.0,2.0,2.0,0.0,5.0,9.0,0.0,1.0,1.0,5.0,1.0,1.0,2.0,0.0,0.0
2,107445382.0,2.0,0.0,0.0,3.0,2.0,4.0,6.0,0.0,3.0,2.0,0.0,4.0,2.0,1.0,6.0,3.0,1.0,7.0,0.0,1.0,3.0,2.0,0.0,2.0,6.0,7.0,4.0,1.0,5.0,2.0,3.0,3.0,0.0,0.0,1.0,6.0,2.0,1.0,0.0,2.0,10.0,1.0,6.0,3.0,2.0,5.0,0.0,1.0,0.0,0.0,5.0,0.0,6.0,2.0,4.0,2.0,0.0,1.0,2.0,9.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,40.0,1.0,0.0,0.0,6.0,3.0,0.0,7.0,5.0,1.0,1.0,0.0,4.0,4.0,20.0,1.0,0.0,0.0
3,108658706.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,3.0,4.0,0.0,2.0,2.0,0.0,2.0,3.0,0.0,4.0,3.0,1.0,5.0,2.0,2.0,0.0,2.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,5.0,4.0,1.0,0.0,0.0,6.0,1.0,16.0,0.0,1.0,17.0,0.0,1.0,1.0,0.0,13.0,0.0,10.0,3.0,4.0,2.0,0.0,0.0,2.0,11.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,4.0,1.0,0.0,1.0,7.0,0.0,0.0,4.0,5.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,3.0
4,108938865.0,7.0,3.0,0.0,0.0,1.0,9.0,5.0,0.0,7.0,0.0,0.0,4.0,4.0,1.0,0.0,0.0,6.0,4.0,1.0,3.0,2.0,3.0,0.0,0.0,7.0,5.0,0.0,0.0,3.0,0.0,4.0,2.0,1.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,4.0,7.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0,1.0,2.0,4.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,3.0,0.0,1.0,5.0,0.0,0.0,13.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0
5,111116700.0,1.0,2.0,0.0,1.0,0.0,2.0,24.0,0.0,6.0,0.0,3.0,2.0,1.0,0.0,1.0,5.0,0.0,1.0,0.0,2.0,7.0,6.0,0.0,3.0,2.0,4.0,2.0,2.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,2.0,7.0,0.0,0.0,1.0,10.0,0.0,12.0,3.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,2.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,1.0,1.0,0.0,1.0,1.0,1.0,4.0,3.0,2.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0
6,113009001.0,1.0,4.0,0.0,9.0,2.0,0.0,39.0,0.0,35.0,1.0,0.0,40.0,2.0,0.0,2.0,20.0,23.0,59.0,0.0,1.0,1.0,27.0,1.0,1.0,34.0,5.0,2.0,2.0,16.0,0.0,30.0,13.0,2.0,5.0,7.0,19.0,57.0,0.0,0.0,1.0,8.0,41.0,5.0,4.0,3.0,4.0,0.0,1.0,1.0,10.0,3.0,0.0,2.0,3.0,2.0,3.0,1.0,2.0,0.0,5.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,3.0,6.0,12.0,0.0,9.0,55.0,1.0,0.0,125.0,22.0,4.0,1.0,0.0,3.0,3.0,0.0,33.0,0.0,0.0
7,11430852.0,8.0,6.0,8.0,5.0,24.0,39.0,0.0,0.0,184.0,8.0,1.0,37.0,7.0,7.0,14.0,31.0,13.0,53.0,4.0,9.0,33.0,42.0,11.0,22.0,34.0,39.0,19.0,4.0,22.0,4.0,16.0,12.0,1.0,15.0,6.0,25.0,153.0,2.0,0.0,4.0,75.0,19.0,45.0,17.0,5.0,18.0,0.0,4.0,2.0,8.0,20.0,0.0,23.0,23.0,18.0,15.0,12.0,9.0,2.0,16.0,0.0,14.0,1.0,1.0,11.0,4.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,0.0,48.0,19.0,0.0,9.0,61.0,5.0,2.0,137.0,56.0,9.0,2.0,12.0,17.0,20.0,7.0,32.0,1.0,0.0
8,130081438.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,13011962.0,1.0,3.0,3.0,7.0,6.0,35.0,184.0,0.0,0.0,1.0,1.0,21.0,7.0,4.0,1.0,16.0,3.0,22.0,0.0,1.0,15.0,6.0,8.0,2.0,11.0,10.0,1.0,0.0,5.0,0.0,6.0,4.0,1.0,9.0,6.0,6.0,57.0,1.0,1.0,1.0,21.0,16.0,35.0,5.0,1.0,5.0,0.0,0.0,1.0,2.0,4.0,0.0,8.0,6.0,7.0,10.0,0.0,5.0,0.0,3.0,2.0,1.0,1.0,0.0,2.0,10.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,1.0,0.0,8.0,0.0,17.0,8.0,3.0,4.0,23.0,1.0,0.0,60.0,13.0,1.0,0.0,3.0,10.0,6.0,1.0,25.0,0.0,0.0
10,132102853.0,6.0,2.0,4.0,0.0,0.0,1.0,8.0,0.0,1.0,0.0,0.0,3.0,2.0,4.0,8.0,10.0,1.0,10.0,4.0,11.0,2.0,3.0,0.0,4.0,6.0,13.0,3.0,0.0,11.0,3.0,0.0,1.0,0.0,0.0,2.0,11.0,7.0,5.0,1.0,2.0,11.0,1.0,14.0,1.0,2.0,17.0,2.0,0.0,1.0,1.0,8.0,0.0,50.0,3.0,9.0,5.0,0.0,1.0,4.0,12.0,0.0,6.0,1.0,0.0,2.0,1.0,0.0,1.0,5.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,3.0,6.0,0.0,0.0,2.0,4.0,4.0,0.0,10.0,12.0,1.0,1.0,0.0,15.0,8.0,1.0,1.0,0.0,2.0
11,1401700627.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,8.0,0.0
12,140402241.0,3.0,4.0,2.0,4.0,2.0,40.0,37.0,0.0,21.0,3.0,0.0,0.0,8.0,3.0,4.0,28.0,24.0,57.0,0.0,1.0,8.0,22.0,3.0,4.0,33.0,8.0,6.0,1.0,12.0,4.0,17.0,13.0,5.0,8.0,7.0,15.0,56.0,1.0,0.0,3.0,9.0,33.0,9.0,6.0,3.0,6.0,0.0,1.0,1.0,4.0,3.0,0.0,4.0,1.0,6.0,19.0,1.0,1.0,1.0,4.0,0.0,5.0,1.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,12.0,20.0,0.0,10.0,49.0,3.0,0.0,82.0,31.0,1.0,2.0,1.0,8.0,4.0,1.0,24.0,0.0,0.0
13,1406614448.0,6.0,2.0,2.0,4.0,1.0,2.0,7.0,0.0,7.0,2.0,0.0,8.0,0.0,2.0,0.0,27.0,1.0,3.0,1.0,6.0,3.0,6.0,17.0,1.0,3.0,2.0,6.0,1.0,2.0,3.0,2.0,1.0,8.0,0.0,1.0,2.0,16.0,1.0,0.0,3.0,3.0,2.0,8.0,12.0,4.0,0.0,8.0,2.0,0.0,0.0,131.0,0.0,4.0,324.0,3.0,15.0,1.0,0.0,0.0,2.0,4.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,2.0,2.0,0.0,2.0,2.0,1.0,0.0,7.0,2.0,2.0,0.0,2.0,26.0,2.0,0.0,2.0,0.0,0.0
14,14794005.0,3.0,1.0,0.0,1.0,0.0,0.0,7.0,0.0,4.0,4.0,2.0,3.0,2.0,0.0,4.0,14.0,2.0,5.0,0.0,2.0,5.0,4.0,0.0,4.0,4.0,9.0,3.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,4.0,1.0,0.0,4.0,9.0,0.0,7.0,4.0,1.0,7.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,11.0,3.0,2.0,0.0,0.0,1.0,2.0,0.0,5.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,5.0,0.0,0.0,0.0,2.0,4.0,0.0,3.0,4.0,9.0,1.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0
15,1613467909.0,3.0,6.0,2.0,0.0,1.0,2.0,14.0,0.0,1.0,8.0,0.0,4.0,0.0,4.0,0.0,10.0,2.0,21.0,2.0,4.0,1.0,4.0,0.0,1.0,13.0,26.0,7.0,1.0,14.0,5.0,1.0,2.0,0.0,4.0,9.0,9.0,5.0,2.0,0.0,6.0,19.0,7.0,27.0,4.0,4.0,26.0,0.0,1.0,5.0,2.0,8.0,0.0,11.0,7.0,8.0,1.0,0.0,1.0,5.0,51.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,2.0,12.0,0.0,0.0,1.0,7.0,5.0,2.0,11.0,27.0,4.0,2.0,0.0,9.0,12.0,2.0,0.0,0.0,1.0
16,16658821.0,8.0,3.0,3.0,0.0,5.0,20.0,31.0,0.0,16.0,10.0,2.0,28.0,27.0,14.0,10.0,0.0,5.0,37.0,2.0,12.0,30.0,18.0,54.0,22.0,16.0,52.0,7.0,0.0,13.0,9.0,7.0,9.0,8.0,6.0,7.0,26.0,61.0,5.0,2.0,9.0,85.0,10.0,49.0,48.0,4.0,50.0,0.0,4.0,1.0,2.0,19.0,0.0,24.0,24.0,18.0,38.0,4.0,5.0,3.0,19.0,2.0,19.0,1.0,0.0,7.0,6.0,0.0,2.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,6.0,6.0,29.0,7.0,0.0,7.0,26.0,9.0,1.0,36.0,97.0,10.0,1.0,6.0,20.0,7.0,1.0,11.0,0.0,1.0
17,166861881.0,1.0,1.0,0.0,6.0,0.0,23.0,13.0,0.0,3.0,1.0,0.0,24.0,1.0,2.0,2.0,5.0,0.0,72.0,0.0,0.0,0.0,12.0,0.0,0.0,46.0,2.0,2.0,0.0,7.0,1.0,16.0,8.0,0.0,1.0,5.0,18.0,17.0,0.0,0.0,1.0,2.0,29.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,10.0,2.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,0.0,1.0,41.0,1.0,0.0,74.0,19.0,0.0,4.0,0.0,2.0,1.0,0.0,11.0,0.0,0.0
18,167786990.0,5.0,7.0,4.0,4.0,1.0,59.0,53.0,0.0,22.0,10.0,0.0,57.0,3.0,5.0,21.0,37.0,72.0,0.0,1.0,9.0,6.0,30.0,6.0,3.0,101.0,27.0,6.0,1.0,35.0,6.0,35.0,27.0,1.0,15.0,9.0,55.0,42.0,5.0,0.0,7.0,37.0,54.0,41.0,5.0,10.0,31.0,0.0,1.0,2.0,11.0,21.0,0.0,38.0,3.0,18.0,2.0,2.0,0.0,8.0,55.0,0.0,5.0,2.0,0.0,3.0,1.0,0.0,0.0,4.0,1.0,0.0,2.0,0.0,4.0,0.0,6.0,4.0,12.0,21.0,0.0,7.0,132.0,9.0,1.0,209.0,87.0,1.0,3.0,0.0,18.0,16.0,1.0,41.0,1.0,5.0
19,169951053.0,1.0,0.0,3.0,1.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,5.0,1.0,1.0,1.0,2.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,7.0,3.0,0.0,1.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,6.0,0.0,0.0,0.0,1.0,15.0,0.0,0.0,0.0,0.0
20,183446972.0,12.0,1.0,1.0,3.0,2.0,1.0,9.0,0.0,1.0,11.0,0.0,1.0,6.0,2.0,4.0,12.0,0.0,9.0,2.0,0.0,1.0,7.0,2.0,5.0,6.0,14.0,2.0,1.0,5.0,2.0,0.0,1.0,0.0,3.0,2.0,7.0,12.0,7.0,1.0,2.0,11.0,0.0,18.0,6.0,2.0,30.0,0.0,0.0,1.0,3.0,15.0,0.0,10.0,18.0,4.0,2.0,0.0,1.0,1.0,11.0,0.0,3.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,2.0,1.0,1.0,0.0,1.0,3.0,7.0,4.0,0.0,0.0,0.0,1.0,2.0,0.0,9.0,18.0,2.0,0.0,0.0,3.0,5.0,1.0,2.0,0.0,0.0
21,18488972.0,5.0,3.0,5.0,2.0,7.0,1.0,33.0,0.0,15.0,2.0,0.0,8.0,3.0,5.0,1.0,30.0,0.0,6.0,0.0,1.0,0.0,4.0,2.0,7.0,8.0,25.0,6.0,0.0,3.0,1.0,1.0,2.0,0.0,8.0,2.0,5.0,29.0,1.0,0.0,2.0,44.0,2.0,10.0,10.0,2.0,6.0,1.0,3.0,2.0,0.0,7.0,0.0,11.0,8.0,13.0,15.0,0.0,0.0,0.0,4.0,1.0,10.0,1.0,0.0,5.0,5.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,27.0,4.0,0.0,1.0,4.0,1.0,1.0,20.0,15.0,2.0,0.0,3.0,11.0,2.0,1.0,2.0,0.0,0.0
22,19056173.0,4.0,2.0,2.0,3.0,6.0,27.0,42.0,0.0,6.0,3.0,1.0,22.0,6.0,4.0,4.0,18.0,12.0,30.0,0.0,7.0,4.0,0.0,0.0,7.0,34.0,9.0,8.0,1.0,9.0,0.0,12.0,8.0,0.0,4.0,2.0,12.0,63.0,0.0,0.0,0.0,29.0,19.0,15.0,11.0,9.0,18.0,0.0,0.0,0.0,7.0,13.0,0.0,8.0,26.0,3.0,8.0,4.0,1.0,0.0,13.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,12.0,17.0,0.0,12.0,32.0,1.0,1.0,88.0,32.0,9.0,1.0,2.0,2.0,11.0,3.0,18.0,1.0,0.0
23,1946097283.0,0.0,0.0,2.0,0.0,0.0,1.0,11.0,0.0,8.0,0.0,0.0,3.0,17.0,0.0,0.0,54.0,0.0,6.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,7.0,0.0,2.0,1.0,27.0,0.0,1.0,0.0,2.0,1.0,13.0,10.0,0.0,4.0,3.0,0.0,0.0,0.0,49.0,0.0,2.0,52.0,2.0,14.0,0.0,1.0,0.0,3.0,4.0,0.0,0.0,0.0,2.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0
24,20560375.0,3.0,2.0,0.0,0.0,3.0,1.0,22.0,0.0,2.0,4.0,3.0,4.0,1.0,4.0,1.0,22.0,0.0,3.0,1.0,5.0,7.0,7.0,1.0,0.0,4.0,15.0,3.0,1.0,3.0,2.0,1.0,2.0,0.0,3.0,0.0,2.0,19.0,1.0,0.0,5.0,22.0,0.0,6.0,15.0,1.0,18.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,4.0,5.0,2.0,0.0,0.0,0.0,3.0,0.0,9.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,2.0,19.0,2.0,0.0,0.0,4.0,4.0,1.0,9.0,36.0,7.0,0.0,4.0,6.0,1.0,1.0,3.0,0.0,0.0
25,208885112.0,3.0,6.0,2.0,7.0,2.0,34.0,34.0,0.0,11.0,6.0,0.0,33.0,3.0,4.0,13.0,16.0,46.0,101.0,2.0,6.0,8.0,34.0,0.0,4.0,0.0,23.0,8.0,2.0,27.0,4.0,25.0,11.0,2.0,4.0,7.0,46.0,40.0,2.0,0.0,4.0,35.0,44.0,27.0,5.0,9.0,25.0,0.0,1.0,1.0,9.0,16.0,0.0,17.0,6.0,13.0,5.0,0.0,1.0,8.0,35.0,0.0,4.0,3.0,0.0,0.0,4.0,0.0,0.0,7.0,0.0,0.0,1.0,0.0,3.0,0.0,4.0,2.0,13.0,22.0,0.0,8.0,71.0,5.0,1.0,130.0,55.0,3.0,3.0,3.0,19.0,24.0,1.0,24.0,0.0,3.0
26,21252352.0,29.0,7.0,4.0,5.0,4.0,5.0,39.0,0.0,10.0,13.0,0.0,8.0,2.0,9.0,26.0,52.0,2.0,27.0,1.0,14.0,25.0,9.0,1.0,15.0,23.0,0.0,12.0,1.0,20.0,9.0,2.0,4.0,0.0,4.0,12.0,26.0,33.0,3.0,1.0,9.0,64.0,9.0,65.0,18.0,11.0,77.0,0.0,5.0,3.0,5.0,24.0,0.0,31.0,33.0,16.0,7.0,0.0,3.0,7.0,55.0,0.0,8.0,2.0,0.0,5.0,4.0,0.0,0.0,8.0,1.0,0.0,2.0,1.0,2.0,0.0,6.0,3.0,28.0,5.0,0.0,1.0,20.0,7.0,4.0,25.0,133.0,7.0,2.0,2.0,23.0,18.0,1.0,1.0,1.0,0.0
27,2182964016.0,5.0,4.0,1.0,0.0,2.0,2.0,19.0,0.0,1.0,3.0,0.0,6.0,6.0,3.0,7.0,7.0,2.0,6.0,0.0,2.0,6.0,8.0,1.0,3.0,8.0,12.0,0.0,2.0,4.0,3.0,2.0,3.0,0.0,5.0,2.0,5.0,8.0,2.0,0.0,5.0,17.0,0.0,6.0,6.0,4.0,5.0,0.0,2.0,0.0,0.0,26.0,0.0,7.0,20.0,6.0,4.0,2.0,1.0,1.0,8.0,0.0,4.0,1.0,0.0,0.0,1.0,0.0,1.0,5.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,9.0,2.0,0.0,1.0,6.0,5.0,4.0,11.0,18.0,10.0,1.0,1.0,8.0,2.0,3.0,1.0,0.0,0.0
28,221649838.0,0.0,1.0,0.0,0.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,1.0,2.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0
29,2283621361.0,2.0,5.0,1.0,3.0,2.0,16.0,22.0,0.0,5.0,11.0,0.0,12.0,2.0,3.0,14.0,13.0,7.0,35.0,0.0,5.0,3.0,9.0,0.0,3.0,27.0,20.0,4.0,2.0,0.0,4.0,10.0,10.0,1.0,4.0,10.0,22.0,22.0,2.0,0.0,4.0,21.0,17.0,18.0,4.0,6.0,19.0,0.0,1.0,1.0,3.0,9.0,0.0,12.0,4.0,11.0,6.0,0.0,3.0,7.0,32.0,0.0,6.0,2.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,1.0,2.0,0.0,5.0,0.0,15.0,8.0,0.0,4.0,25.0,5.0,1.0,33.0,24.0,3.0,1.0,0.0,16.0,19.0,2.0,9.0,0.0,0.0
