,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74
0,-1.0,1027866224.0,1036924723.0,112700125.0,117773768.0,117839377.0,131070542.0,132037287.0,137702613.0,14111517.0,1413184656.0,1428381847.0,145535500.0,1490064805.0,155562569.0,163810080.0,169522837.0,17481929.0,17964981.0,185534602.0,18760423.0,190274774.0,193372441.0,217682721.0,22035032.0,2240423148.0,2330095813.0,2411517990.0,242684798.0,249049783.0,2962950012.0,3077950123.0,3279366444.0,3295708478.0,353835423.0,360270369.0,3757849876.0,3860286073.0,4182061094.0,4424961978.0,4472557812.0,45789219.0,47652385.0,481740432.0,4915917830.0,52341168.0,536542792.0,555742986.0,69081654.0,74643756.0,7.793238730829005e+17,7.828272024841175e+17,8.292987117841981e+17,8.301290840679383e+17,8.304446561356431e+17,8.31082792054186e+17,8.350720108079923e+17,83660300.0,8.712796959915213e+17,8.714028612378583e+17,8.760451615658967e+17,88444985.0,8.848326961276723e+17,8.919914439040983e+17,89884883.0,9.033301991392625e+17,9.116335599992218e+17,9.209072540769157e+17,9.229122393124495e+17,9.34737940827091e+17,9.419731493142938e+17,9.431268135003095e+17,9.449526900433388e+17,9.532587121725194e+17,9.539983387596964e+17
1,1027866224.0,0.0,1.0,1.0,3.0,4.0,2.0,1.0,0.0,1.0,2.0,9.0,2.0,8.0,18.0,1.0,0.0,0.0,9.0,1.0,1.0,1.0,2.0,2.0,0.0,15.0,2.0,0.0,9.0,0.0,0.0,5.0,15.0,0.0,2.0,13.0,18.0,7.0,2.0,0.0,1.0,2.0,4.0,1.0,4.0,0.0,18.0,0.0,7.0,1.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,10.0,0.0,0.0,5.0,14.0,3.0,0.0,26.0,5.0,15.0,1.0,11.0,0.0,0.0,0.0,1.0,4.0,1.0
2,1036924723.0,1.0,0.0,1.0,2.0,1.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,3.0,11.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,3.0,3.0,0.0,9.0,2.0,4.0,6.0,1.0,4.0,3.0,2.0,0.0,0.0,9.0,0.0,2.0,0.0,34.0,0.0,4.0,0.0,2.0,0.0,0.0,6.0,1.0,28.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,5.0,6.0,0.0,4.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,12.0,1.0,0.0
3,112700125.0,1.0,1.0,0.0,11.0,14.0,34.0,14.0,0.0,3.0,7.0,16.0,2.0,8.0,19.0,13.0,0.0,0.0,55.0,6.0,1.0,43.0,2.0,1.0,0.0,26.0,5.0,0.0,27.0,0.0,1.0,32.0,44.0,4.0,0.0,9.0,4.0,18.0,13.0,6.0,3.0,17.0,3.0,6.0,23.0,0.0,19.0,3.0,6.0,19.0,0.0,3.0,19.0,20.0,2.0,0.0,0.0,29.0,3.0,2.0,21.0,42.0,2.0,6.0,44.0,18.0,7.0,1.0,4.0,3.0,2.0,1.0,1.0,8.0,0.0
4,117773768.0,3.0,2.0,11.0,0.0,8.0,12.0,3.0,0.0,0.0,4.0,8.0,3.0,9.0,17.0,4.0,0.0,0.0,21.0,1.0,0.0,1.0,4.0,1.0,0.0,25.0,5.0,0.0,21.0,1.0,1.0,17.0,29.0,1.0,2.0,15.0,9.0,14.0,11.0,2.0,5.0,3.0,5.0,1.0,17.0,1.0,20.0,1.0,7.0,2.0,0.0,5.0,10.0,7.0,0.0,0.0,0.0,25.0,0.0,0.0,17.0,25.0,7.0,3.0,30.0,12.0,8.0,1.0,4.0,1.0,2.0,1.0,1.0,3.0,0.0
5,117839377.0,4.0,1.0,14.0,8.0,0.0,26.0,22.0,0.0,1.0,4.0,16.0,1.0,7.0,19.0,21.0,0.0,0.0,28.0,8.0,0.0,2.0,1.0,1.0,0.0,22.0,1.0,0.0,21.0,0.0,0.0,18.0,24.0,4.0,4.0,10.0,6.0,11.0,3.0,0.0,2.0,11.0,2.0,1.0,13.0,0.0,18.0,2.0,5.0,6.0,0.0,1.0,18.0,11.0,0.0,0.0,0.0,17.0,1.0,0.0,11.0,42.0,5.0,3.0,33.0,10.0,5.0,1.0,5.0,1.0,1.0,1.0,1.0,3.0,1.0
6,131070542.0,2.0,0.0,34.0,12.0,26.0,0.0,30.0,0.0,4.0,11.0,65.0,4.0,4.0,17.0,95.0,0.0,0.0,47.0,7.0,2.0,13.0,3.0,0.0,0.0,31.0,4.0,0.0,21.0,0.0,0.0,44.0,53.0,1.0,0.0,11.0,4.0,13.0,18.0,4.0,3.0,14.0,5.0,8.0,21.0,0.0,15.0,1.0,4.0,14.0,0.0,3.0,22.0,10.0,1.0,0.0,1.0,66.0,1.0,4.0,31.0,42.0,4.0,5.0,49.0,22.0,14.0,1.0,13.0,6.0,2.0,4.0,1.0,5.0,0.0
7,132037287.0,1.0,4.0,14.0,3.0,22.0,30.0,0.0,0.0,1.0,6.0,14.0,2.0,8.0,32.0,22.0,0.0,0.0,144.0,2.0,0.0,11.0,3.0,2.0,0.0,26.0,0.0,0.0,22.0,1.0,3.0,9.0,13.0,6.0,0.0,9.0,2.0,5.0,1.0,0.0,11.0,15.0,2.0,1.0,16.0,0.0,13.0,1.0,2.0,18.0,0.0,5.0,3.0,18.0,1.0,0.0,0.0,21.0,0.0,0.0,8.0,54.0,11.0,2.0,70.0,9.0,6.0,1.0,3.0,4.0,1.0,1.0,3.0,1.0,0.0
8,137702613.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,6.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,14111517.0,1.0,0.0,3.0,0.0,1.0,4.0,1.0,3.0,0.0,0.0,3.0,9.0,1.0,3.0,1.0,0.0,0.0,11.0,0.0,21.0,6.0,3.0,0.0,0.0,26.0,0.0,0.0,9.0,0.0,0.0,1.0,6.0,0.0,0.0,6.0,0.0,6.0,3.0,0.0,1.0,6.0,3.0,0.0,4.0,0.0,2.0,0.0,8.0,11.0,0.0,0.0,2.0,8.0,0.0,0.0,0.0,5.0,0.0,0.0,6.0,71.0,0.0,0.0,20.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
10,1413184656.0,2.0,0.0,7.0,4.0,4.0,11.0,6.0,0.0,0.0,0.0,10.0,2.0,10.0,15.0,13.0,0.0,0.0,18.0,6.0,0.0,2.0,2.0,1.0,0.0,22.0,5.0,0.0,14.0,4.0,0.0,25.0,17.0,0.0,0.0,7.0,1.0,6.0,9.0,2.0,0.0,9.0,0.0,2.0,9.0,0.0,13.0,3.0,1.0,1.0,0.0,0.0,9.0,5.0,2.0,1.0,2.0,16.0,1.0,3.0,8.0,19.0,1.0,3.0,22.0,3.0,22.0,0.0,4.0,5.0,3.0,0.0,1.0,7.0,0.0
11,1428381847.0,9.0,2.0,16.0,8.0,16.0,65.0,14.0,0.0,3.0,10.0,0.0,4.0,24.0,80.0,57.0,0.0,0.0,37.0,1.0,0.0,8.0,4.0,9.0,0.0,57.0,4.0,2.0,45.0,0.0,2.0,19.0,40.0,5.0,4.0,28.0,31.0,17.0,5.0,1.0,12.0,10.0,6.0,1.0,29.0,0.0,58.0,5.0,6.0,3.0,0.0,7.0,17.0,28.0,0.0,0.0,0.0,77.0,1.0,0.0,19.0,59.0,14.0,3.0,71.0,13.0,18.0,1.0,21.0,1.0,1.0,5.0,3.0,10.0,1.0
12,145535500.0,2.0,0.0,2.0,3.0,1.0,4.0,2.0,2.0,9.0,2.0,4.0,0.0,3.0,5.0,1.0,0.0,0.0,5.0,0.0,5.0,1.0,0.0,1.0,0.0,13.0,1.0,0.0,10.0,1.0,0.0,2.0,6.0,0.0,1.0,4.0,0.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,0.0,5.0,1.0,3.0,5.0,0.0,1.0,4.0,8.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,13.0,1.0,0.0,14.0,4.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
13,1490064805.0,8.0,3.0,8.0,9.0,7.0,4.0,8.0,0.0,1.0,10.0,24.0,3.0,0.0,61.0,2.0,0.0,0.0,30.0,1.0,0.0,2.0,2.0,4.0,0.0,36.0,1.0,2.0,30.0,0.0,2.0,9.0,35.0,4.0,4.0,26.0,22.0,12.0,3.0,0.0,12.0,8.0,7.0,1.0,18.0,0.0,43.0,2.0,11.0,1.0,0.0,4.0,8.0,14.0,1.0,0.0,0.0,35.0,1.0,0.0,9.0,45.0,18.0,1.0,41.0,7.0,12.0,1.0,6.0,1.0,0.0,0.0,4.0,6.0,1.0
14,155562569.0,18.0,11.0,19.0,17.0,19.0,17.0,32.0,0.0,3.0,15.0,80.0,5.0,61.0,0.0,9.0,0.0,0.0,84.0,1.0,1.0,2.0,7.0,12.0,0.0,105.0,3.0,13.0,96.0,1.0,8.0,16.0,91.0,39.0,5.0,67.0,52.0,19.0,8.0,2.0,62.0,12.0,11.0,3.0,71.0,0.0,124.0,10.0,13.0,7.0,0.0,11.0,14.0,74.0,1.0,0.0,0.0,105.0,1.0,0.0,18.0,160.0,52.0,2.0,189.0,20.0,46.0,1.0,29.0,3.0,2.0,2.0,10.0,10.0,1.0
15,163810080.0,1.0,0.0,13.0,4.0,21.0,95.0,22.0,0.0,1.0,13.0,57.0,1.0,2.0,9.0,0.0,0.0,0.0,24.0,2.0,2.0,1.0,2.0,0.0,0.0,18.0,3.0,0.0,10.0,0.0,0.0,23.0,29.0,1.0,0.0,7.0,4.0,5.0,4.0,0.0,0.0,2.0,2.0,0.0,13.0,1.0,8.0,2.0,2.0,4.0,0.0,1.0,9.0,7.0,0.0,0.0,0.0,36.0,0.0,0.0,19.0,9.0,2.0,4.0,24.0,6.0,26.0,0.0,12.0,4.0,4.0,6.0,0.0,2.0,0.0
16,169522837.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,17481929.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,17964981.0,9.0,2.0,55.0,21.0,28.0,47.0,144.0,15.0,11.0,18.0,37.0,5.0,30.0,84.0,24.0,0.0,1.0,0.0,18.0,10.0,24.0,6.0,8.0,0.0,63.0,7.0,0.0,85.0,2.0,2.0,107.0,86.0,6.0,5.0,35.0,14.0,23.0,30.0,10.0,10.0,58.0,9.0,12.0,39.0,1.0,60.0,6.0,12.0,39.0,2.0,6.0,46.0,33.0,4.0,0.0,1.0,61.0,4.0,3.0,49.0,173.0,12.0,8.0,171.0,27.0,49.0,5.0,9.0,34.0,6.0,2.0,4.0,13.0,1.0
19,185534602.0,1.0,0.0,6.0,1.0,8.0,7.0,2.0,0.0,0.0,6.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,18.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,27.0,0.0,4.0,5.0,0.0,47.0,58.0,0.0,0.0,1.0,1.0,4.0,79.0,13.0,0.0,3.0,0.0,37.0,3.0,0.0,3.0,1.0,0.0,4.0,14.0,0.0,84.0,3.0,29.0,22.0,37.0,1.0,102.0,18.0,66.0,8.0,0.0,24.0,6.0,27.0,16.0,32.0,2.0,40.0,40.0,14.0,0.0,16.0,7.0
20,18760423.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,6.0,21.0,0.0,0.0,5.0,0.0,1.0,2.0,0.0,0.0,10.0,0.0,0.0,7.0,1.0,0.0,0.0,20.0,1.0,0.0,8.0,0.0,0.0,1.0,8.0,0.0,1.0,6.0,0.0,4.0,0.0,0.0,1.0,5.0,7.0,0.0,1.0,0.0,1.0,0.0,1.0,6.0,0.0,0.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,22.0,0.0,0.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,190274774.0,1.0,1.0,43.0,1.0,2.0,13.0,11.0,0.0,6.0,2.0,8.0,1.0,2.0,2.0,1.0,0.0,0.0,24.0,2.0,7.0,0.0,1.0,0.0,0.0,9.0,1.0,0.0,9.0,0.0,0.0,7.0,8.0,0.0,1.0,6.0,2.0,5.0,1.0,1.0,0.0,13.0,2.0,1.0,11.0,1.0,5.0,1.0,2.0,4.0,0.0,1.0,3.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,6.0,19.0,0.0,1.0,24.0,4.0,3.0,0.0,2.0,1.0,1.0,1.0,0.0,2.0,0.0
22,193372441.0,2.0,0.0,2.0,4.0,1.0,3.0,3.0,1.0,3.0,2.0,4.0,0.0,2.0,7.0,2.0,0.0,0.0,6.0,0.0,1.0,1.0,0.0,1.0,0.0,9.0,2.0,0.0,6.0,0.0,0.0,2.0,9.0,0.0,0.0,4.0,1.0,5.0,1.0,0.0,1.0,5.0,3.0,0.0,4.0,0.0,8.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,5.0,11.0,3.0,1.0,17.0,4.0,3.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0
23,217682721.0,2.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,1.0,9.0,1.0,4.0,12.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,1.0,5.0,0.0,1.0,1.0,3.0,6.0,0.0,5.0,3.0,2.0,0.0,0.0,8.0,1.0,0.0,1.0,6.0,0.0,5.0,0.0,1.0,0.0,0.0,3.0,1.0,8.0,0.0,0.0,0.0,11.0,0.0,0.0,2.0,8.0,4.0,0.0,7.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0
24,22035032.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,2240423148.0,15.0,3.0,26.0,25.0,22.0,31.0,26.0,1.0,26.0,22.0,57.0,13.0,36.0,105.0,18.0,0.0,0.0,63.0,3.0,20.0,9.0,9.0,5.0,0.0,0.0,5.0,1.0,83.0,1.0,2.0,25.0,75.0,5.0,5.0,68.0,38.0,32.0,14.0,1.0,19.0,36.0,15.0,4.0,48.0,1.0,88.0,5.0,26.0,8.0,0.0,8.0,18.0,42.0,2.0,0.0,0.0,78.0,1.0,0.0,34.0,175.0,28.0,3.0,191.0,35.0,42.0,1.0,28.0,3.0,6.0,3.0,17.0,12.0,1.0
26,2330095813.0,2.0,0.0,5.0,5.0,1.0,4.0,0.0,0.0,0.0,5.0,4.0,1.0,1.0,3.0,3.0,0.0,0.0,7.0,27.0,1.0,1.0,2.0,0.0,0.0,5.0,0.0,0.0,5.0,2.0,0.0,19.0,35.0,0.0,0.0,4.0,5.0,5.0,37.0,1.0,0.0,2.0,1.0,20.0,4.0,0.0,5.0,0.0,0.0,1.0,12.0,2.0,33.0,1.0,15.0,12.0,18.0,8.0,37.0,14.0,54.0,5.0,1.0,10.0,11.0,19.0,6.0,16.0,5.0,5.0,25.0,6.0,0.0,12.0,5.0
27,2411517990.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,14.0,0.0,0.0,1.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,7.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,14.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,11.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
28,242684798.0,9.0,3.0,27.0,21.0,21.0,21.0,22.0,1.0,9.0,14.0,45.0,10.0,30.0,96.0,10.0,0.0,0.0,85.0,4.0,8.0,9.0,6.0,5.0,0.0,83.0,5.0,0.0,0.0,1.0,1.0,35.0,68.0,3.0,6.0,43.0,21.0,29.0,12.0,3.0,8.0,31.0,10.0,5.0,37.0,0.0,69.0,6.0,16.0,16.0,0.0,5.0,23.0,28.0,1.0,0.0,0.0,65.0,2.0,0.0,28.0,133.0,17.0,5.0,136.0,25.0,28.0,1.0,14.0,2.0,3.0,1.0,6.0,11.0,1.0
29,249049783.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,30.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,17.0,2.0,5.0,0.0,0.0,1.0,1.0,0.0,78.0,0.0,0.0,10.0,6.0,1.0,0.0,1.0,1.0
30,2962950012.0,0.0,9.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,2.0,8.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,5.0,0.0,2.0,1.0,1.0,0.0,0.0,5.0,0.0,1.0,0.0,13.0,0.0,3.0,0.0,1.0,0.0,0.0,4.0,0.0,11.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,3.0,4.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0
31,3077950123.0,5.0,2.0,32.0,17.0,18.0,44.0,9.0,0.0,1.0,25.0,19.0,2.0,9.0,16.0,23.0,0.0,0.0,107.0,47.0,1.0,7.0,2.0,1.0,0.0,25.0,19.0,0.0,35.0,30.0,1.0,0.0,143.0,2.0,1.0,13.0,6.0,29.0,44.0,16.0,2.0,15.0,4.0,24.0,21.0,1.0,20.0,3.0,6.0,10.0,2.0,3.0,79.0,21.0,9.0,2.0,4.0,39.0,20.0,11.0,99.0,37.0,3.0,24.0,52.0,27.0,111.0,11.0,17.0,41.0,28.0,12.0,1.0,27.0,1.0
32,3279366444.0,15.0,4.0,44.0,29.0,24.0,53.0,13.0,1.0,6.0,17.0,40.0,6.0,35.0,91.0,29.0,0.0,0.0,86.0,58.0,8.0,8.0,9.0,3.0,0.0,75.0,35.0,1.0,68.0,3.0,2.0,143.0,0.0,5.0,2.0,39.0,37.0,36.0,118.0,15.0,15.0,12.0,17.0,40.0,40.0,1.0,76.0,5.0,14.0,15.0,19.0,5.0,126.0,45.0,42.0,6.0,11.0,82.0,57.0,25.0,134.0,98.0,22.0,25.0,101.0,44.0,62.0,41.0,28.0,48.0,52.0,20.0,6.0,34.0,6.0
33,3295708478.0,0.0,6.0,4.0,1.0,4.0,1.0,6.0,0.0,0.0,0.0,5.0,0.0,4.0,39.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,6.0,0.0,5.0,0.0,14.0,3.0,0.0,5.0,2.0,5.0,0.0,1.0,6.0,2.0,0.0,0.0,0.0,72.0,1.0,2.0,0.0,42.0,0.0,5.0,0.0,0.0,1.0,0.0,6.0,3.0,49.0,0.0,0.0,0.0,9.0,0.0,0.0,1.0,7.0,38.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0
34,353835423.0,2.0,1.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,4.0,5.0,0.0,0.0,0.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,6.0,0.0,0.0,1.0,2.0,1.0,0.0,4.0,3.0,1.0,0.0,0.0,1.0,2.0,3.0,0.0,4.0,0.0,6.0,0.0,2.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,6.0,2.0,0.0,3.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
35,360270369.0,13.0,4.0,9.0,15.0,10.0,11.0,9.0,0.0,6.0,7.0,28.0,4.0,26.0,67.0,7.0,0.0,0.0,35.0,1.0,6.0,6.0,4.0,5.0,0.0,68.0,4.0,0.0,43.0,0.0,2.0,13.0,39.0,6.0,4.0,0.0,21.0,17.0,5.0,0.0,15.0,8.0,10.0,1.0,26.0,1.0,50.0,4.0,16.0,2.0,0.0,7.0,8.0,27.0,1.0,0.0,0.0,40.0,0.0,0.0,17.0,67.0,19.0,4.0,63.0,13.0,17.0,1.0,10.0,0.0,1.0,1.0,5.0,5.0,1.0
