,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111
0,-1.0,116434111.0,1217991722.0,123480219.0,130382093.0,132095476.0,1333059001.0,1338926610.0,136949988.0,1469086140.0,1497730880.0,1533828294.0,154502692.0,17481929.0,185667013.0,1958029015.0,2264566573.0,2291277529.0,2411780837.0,2450421474.0,2467201618.0,2507068351.0,252260757.0,27115305.0,273378687.0,2752498194.0,2756132406.0,280001092.0,2821107367.0,2836621284.0,2898655952.0,2898982677.0,2950301492.0,2954907308.0,2955056552.0,2955987295.0,2956626636.0,2956885202.0,2957220588.0,2957458380.0,2957881886.0,2960473008.0,2982013375.0,3012051132.0,30860019.0,320811254.0,3244035912.0,3253468556.0,325403636.0,325610106.0,3314238331.0,335159421.0,343343892.0,366713786.0,4154896334.0,4275710122.0,441909786.0,44815147.0,450378435.0,4574311770.0,4688575886.0,4737042973.0,4777301054.0,580057012.0,628960161.0,7.050964902055813e+17,7.184282798336369e+17,7.248709077648261e+17,7.327544372997079e+17,7.575753628301517e+17,7.647663670440837e+17,7.651540429977108e+17,7.686505362330788e+17,768674803.0,7.712127026895299e+17,7.713321093656044e+17,7.717132291143844e+17,77396252.0,7.791547124236984e+17,7.828765772479242e+17,7.909474863281725e+17,8.032499543703101e+17,807941154.0,8.140353771829289e+17,8.168373180321137e+17,8.231188750804623e+17,8.315030333265019e+17,832373833.0,8.358668750158684e+17,8.365564965529969e+17,8.369322251700429e+17,8.459933761806828e+17,8.523590312095539e+17,8.694933701666652e+17,8.699372456665252e+17,8.796333356178063e+17,8.862795477123523e+17,8.898514935739965e+17,8.932917022317691e+17,8.938747308428083e+17,8.988921433134735e+17,9.029402266114212e+17,9.090464372912333e+17,9.108481723431772e+17,9.17086515389272e+17,9.366327193032499e+17,9.387523784378e+17,9.412062273837343e+17,9.458592492084019e+17,9.513879496979374e+17,9.524546228698235e+17,9.531231506523505e+17
1,116434111.0,0.0,132.0,25.0,59.0,4.0,63.0,0.0,127.0,27.0,89.0,88.0,10.0,0.0,26.0,29.0,9.0,16.0,19.0,95.0,66.0,8.0,78.0,4.0,25.0,20.0,9.0,7.0,6.0,27.0,33.0,1.0,38.0,15.0,3.0,8.0,10.0,2.0,47.0,19.0,8.0,20.0,1.0,52.0,11.0,3.0,7.0,47.0,26.0,66.0,28.0,59.0,159.0,5.0,17.0,13.0,62.0,6.0,72.0,9.0,13.0,0.0,1.0,17.0,10.0,19.0,87.0,36.0,23.0,76.0,19.0,81.0,7.0,39.0,0.0,10.0,22.0,14.0,36.0,74.0,47.0,15.0,5.0,22.0,18.0,13.0,22.0,23.0,44.0,0.0,12.0,60.0,0.0,13.0,35.0,4.0,13.0,35.0,3.0,76.0,36.0,7.0,55.0,21.0,0.0,11.0,97.0,43.0,1.0,44.0,7.0,40.0
2,1217991722.0,132.0,0.0,51.0,185.0,12.0,218.0,0.0,350.0,87.0,236.0,212.0,30.0,0.0,60.0,99.0,18.0,22.0,72.0,343.0,129.0,29.0,187.0,9.0,63.0,56.0,23.0,16.0,8.0,78.0,96.0,1.0,93.0,36.0,12.0,26.0,42.0,7.0,91.0,73.0,23.0,33.0,4.0,186.0,32.0,6.0,10.0,119.0,85.0,192.0,20.0,189.0,372.0,8.0,50.0,28.0,221.0,13.0,126.0,37.0,31.0,0.0,1.0,39.0,20.0,31.0,349.0,98.0,56.0,205.0,46.0,189.0,32.0,128.0,0.0,40.0,53.0,38.0,67.0,262.0,137.0,63.0,22.0,52.0,28.0,32.0,55.0,73.0,137.0,0.0,28.0,186.0,0.0,35.0,71.0,13.0,29.0,102.0,3.0,264.0,79.0,23.0,189.0,48.0,0.0,15.0,86.0,133.0,7.0,137.0,23.0,118.0
3,123480219.0,25.0,51.0,0.0,19.0,4.0,11.0,0.0,32.0,12.0,38.0,42.0,4.0,0.0,9.0,7.0,9.0,5.0,2.0,19.0,11.0,2.0,37.0,0.0,5.0,4.0,3.0,0.0,3.0,20.0,25.0,0.0,19.0,10.0,2.0,5.0,5.0,0.0,31.0,5.0,8.0,9.0,0.0,41.0,0.0,1.0,2.0,10.0,16.0,25.0,4.0,15.0,52.0,0.0,11.0,0.0,7.0,0.0,33.0,0.0,3.0,0.0,1.0,11.0,3.0,11.0,22.0,7.0,2.0,35.0,5.0,33.0,2.0,6.0,0.0,3.0,3.0,10.0,21.0,11.0,21.0,9.0,0.0,7.0,6.0,6.0,11.0,13.0,12.0,0.0,2.0,21.0,0.0,3.0,4.0,2.0,5.0,13.0,1.0,11.0,7.0,2.0,9.0,4.0,0.0,3.0,15.0,8.0,0.0,13.0,1.0,12.0
4,130382093.0,59.0,185.0,19.0,0.0,10.0,174.0,0.0,228.0,141.0,165.0,95.0,40.0,0.0,85.0,76.0,7.0,15.0,62.0,273.0,68.0,39.0,94.0,5.0,79.0,67.0,26.0,12.0,7.0,114.0,67.0,0.0,150.0,34.0,23.0,48.0,41.0,14.0,41.0,83.0,16.0,13.0,8.0,115.0,23.0,9.0,4.0,106.0,113.0,201.0,3.0,160.0,183.0,4.0,47.0,13.0,162.0,18.0,61.0,33.0,39.0,0.0,4.0,59.0,8.0,8.0,268.0,92.0,60.0,155.0,69.0,85.0,37.0,144.0,0.0,41.0,51.0,36.0,17.0,231.0,132.0,104.0,41.0,47.0,19.0,25.0,53.0,116.0,123.0,0.0,19.0,171.0,0.0,52.0,43.0,26.0,17.0,120.0,6.0,187.0,64.0,40.0,148.0,43.0,0.0,3.0,60.0,110.0,7.0,128.0,18.0,76.0
5,132095476.0,4.0,12.0,4.0,10.0,0.0,8.0,0.0,7.0,7.0,13.0,10.0,3.0,0.0,3.0,2.0,1.0,0.0,3.0,18.0,3.0,3.0,8.0,0.0,2.0,4.0,0.0,0.0,0.0,6.0,8.0,0.0,6.0,3.0,0.0,1.0,1.0,1.0,4.0,4.0,1.0,1.0,0.0,11.0,0.0,0.0,0.0,8.0,6.0,10.0,1.0,12.0,14.0,0.0,4.0,1.0,6.0,1.0,8.0,0.0,0.0,0.0,1.0,5.0,5.0,1.0,15.0,4.0,2.0,8.0,1.0,7.0,2.0,5.0,0.0,3.0,2.0,2.0,1.0,10.0,7.0,7.0,2.0,1.0,0.0,0.0,1.0,4.0,9.0,0.0,1.0,15.0,0.0,0.0,4.0,1.0,2.0,5.0,0.0,7.0,1.0,4.0,6.0,4.0,0.0,0.0,2.0,4.0,0.0,4.0,0.0,6.0
6,1333059001.0,63.0,218.0,11.0,174.0,8.0,0.0,1.0,308.0,82.0,197.0,116.0,35.0,0.0,47.0,77.0,15.0,19.0,76.0,376.0,105.0,34.0,109.0,15.0,72.0,63.0,28.0,23.0,4.0,60.0,44.0,1.0,66.0,33.0,19.0,31.0,39.0,11.0,40.0,89.0,18.0,19.0,7.0,63.0,30.0,9.0,8.0,129.0,88.0,182.0,8.0,263.0,206.0,9.0,17.0,28.0,278.0,13.0,60.0,43.0,37.0,0.0,3.0,37.0,10.0,12.0,427.0,127.0,68.0,138.0,55.0,112.0,41.0,153.0,0.0,43.0,62.0,33.0,23.0,298.0,116.0,58.0,33.0,52.0,25.0,31.0,49.0,48.0,104.0,0.0,27.0,183.0,0.0,49.0,80.0,12.0,26.0,97.0,6.0,293.0,88.0,23.0,234.0,57.0,0.0,9.0,60.0,165.0,13.0,158.0,31.0,117.0
7,1338926610.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
8,136949988.0,127.0,350.0,32.0,228.0,7.0,308.0,1.0,0.0,107.0,264.0,257.0,41.0,0.0,60.0,123.0,22.0,25.0,80.0,645.0,157.0,25.0,192.0,28.0,84.0,61.0,25.0,22.0,22.0,97.0,83.0,1.0,108.0,49.0,9.0,29.0,43.0,11.0,75.0,87.0,24.0,30.0,2.0,140.0,54.0,17.0,13.0,134.0,103.0,235.0,21.0,279.0,427.0,7.0,35.0,37.0,337.0,27.0,108.0,58.0,32.0,0.0,6.0,34.0,12.0,29.0,624.0,125.0,59.0,203.0,51.0,223.0,33.0,193.0,0.0,37.0,60.0,39.0,60.0,407.0,153.0,66.0,24.0,45.0,28.0,32.0,69.0,71.0,147.0,0.0,27.0,206.0,0.0,58.0,90.0,13.0,47.0,117.0,5.0,382.0,87.0,26.0,260.0,53.0,3.0,15.0,85.0,174.0,11.0,157.0,36.0,217.0
9,1469086140.0,27.0,87.0,12.0,141.0,7.0,82.0,0.0,107.0,0.0,121.0,50.0,59.0,0.0,125.0,122.0,11.0,12.0,43.0,159.0,45.0,57.0,41.0,6.0,61.0,99.0,31.0,6.0,21.0,136.0,91.0,1.0,212.0,48.0,36.0,77.0,36.0,17.0,35.0,63.0,12.0,8.0,11.0,130.0,10.0,10.0,3.0,82.0,159.0,194.0,6.0,79.0,99.0,5.0,54.0,8.0,90.0,12.0,39.0,12.0,26.0,0.0,1.0,56.0,3.0,7.0,136.0,68.0,51.0,182.0,80.0,96.0,30.0,97.0,0.0,37.0,46.0,22.0,29.0,220.0,142.0,170.0,48.0,53.0,12.0,41.0,84.0,177.0,176.0,0.0,14.0,238.0,0.0,100.0,24.0,61.0,20.0,135.0,4.0,88.0,35.0,81.0,79.0,47.0,0.0,4.0,73.0,52.0,5.0,100.0,9.0,42.0
10,1497730880.0,89.0,236.0,38.0,165.0,13.0,197.0,0.0,264.0,121.0,0.0,146.0,46.0,0.0,81.0,95.0,17.0,17.0,74.0,287.0,107.0,44.0,120.0,6.0,59.0,67.0,28.0,13.0,11.0,99.0,87.0,0.0,120.0,42.0,23.0,45.0,40.0,10.0,72.0,84.0,21.0,26.0,5.0,138.0,23.0,8.0,9.0,118.0,122.0,201.0,13.0,169.0,250.0,6.0,37.0,24.0,173.0,7.0,96.0,23.0,37.0,0.0,2.0,46.0,15.0,21.0,261.0,106.0,63.0,198.0,60.0,139.0,40.0,141.0,0.0,47.0,55.0,36.0,52.0,247.0,141.0,84.0,40.0,60.0,26.0,34.0,62.0,90.0,135.0,0.0,28.0,196.0,0.0,49.0,65.0,20.0,30.0,110.0,7.0,202.0,72.0,42.0,173.0,58.0,1.0,9.0,75.0,130.0,10.0,141.0,26.0,85.0
11,1533828294.0,88.0,212.0,42.0,95.0,10.0,116.0,0.0,257.0,50.0,146.0,0.0,24.0,0.0,36.0,54.0,12.0,19.0,30.0,201.0,92.0,13.0,139.0,10.0,33.0,28.0,20.0,2.0,9.0,80.0,53.0,0.0,80.0,40.0,9.0,17.0,20.0,1.0,75.0,55.0,18.0,34.0,2.0,111.0,9.0,4.0,10.0,73.0,66.0,137.0,25.0,136.0,289.0,5.0,23.0,24.0,110.0,0.0,94.0,3.0,16.0,0.0,1.0,27.0,4.0,26.0,200.0,57.0,27.0,122.0,28.0,156.0,13.0,81.0,0.0,18.0,27.0,23.0,55.0,164.0,87.0,50.0,16.0,33.0,19.0,21.0,39.0,48.0,69.0,0.0,14.0,111.0,0.0,24.0,39.0,6.0,31.0,68.0,2.0,129.0,47.0,14.0,95.0,37.0,2.0,12.0,78.0,70.0,6.0,91.0,18.0,133.0
12,154502692.0,10.0,30.0,4.0,40.0,3.0,35.0,0.0,41.0,59.0,46.0,24.0,0.0,0.0,44.0,41.0,2.0,4.0,15.0,47.0,22.0,26.0,15.0,3.0,17.0,21.0,9.0,4.0,6.0,29.0,24.0,1.0,56.0,16.0,11.0,21.0,12.0,4.0,13.0,23.0,7.0,9.0,3.0,33.0,7.0,2.0,1.0,30.0,40.0,52.0,2.0,36.0,36.0,1.0,11.0,2.0,28.0,1.0,11.0,6.0,12.0,0.0,1.0,11.0,2.0,4.0,51.0,15.0,14.0,58.0,17.0,28.0,10.0,26.0,0.0,14.0,14.0,11.0,7.0,77.0,42.0,38.0,11.0,15.0,6.0,7.0,21.0,42.0,47.0,0.0,6.0,74.0,0.0,19.0,11.0,17.0,1.0,41.0,4.0,30.0,14.0,17.0,26.0,10.0,0.0,4.0,15.0,24.0,1.0,40.0,8.0,32.0
13,17481929.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,185667013.0,26.0,60.0,9.0,85.0,3.0,47.0,0.0,60.0,125.0,81.0,36.0,44.0,0.0,0.0,88.0,10.0,7.0,29.0,68.0,32.0,25.0,36.0,2.0,30.0,45.0,18.0,9.0,10.0,69.0,66.0,1.0,99.0,22.0,19.0,49.0,23.0,8.0,27.0,34.0,9.0,9.0,9.0,110.0,10.0,5.0,2.0,50.0,102.0,98.0,2.0,49.0,81.0,4.0,47.0,6.0,48.0,4.0,28.0,10.0,19.0,0.0,1.0,29.0,4.0,7.0,62.0,40.0,32.0,121.0,38.0,55.0,20.0,56.0,0.0,27.0,27.0,11.0,14.0,115.0,79.0,81.0,22.0,31.0,11.0,21.0,35.0,80.0,101.0,0.0,14.0,126.0,0.0,36.0,22.0,24.0,18.0,76.0,6.0,46.0,24.0,42.0,45.0,23.0,0.0,2.0,42.0,42.0,0.0,59.0,9.0,38.0
15,1958029015.0,29.0,99.0,7.0,76.0,2.0,77.0,0.0,123.0,122.0,95.0,54.0,41.0,0.0,88.0,0.0,8.0,6.0,36.0,174.0,39.0,42.0,28.0,6.0,41.0,67.0,23.0,8.0,7.0,98.0,81.0,0.0,105.0,30.0,24.0,61.0,23.0,14.0,21.0,45.0,9.0,7.0,8.0,70.0,10.0,9.0,4.0,57.0,112.0,125.0,2.0,98.0,83.0,2.0,42.0,7.0,91.0,5.0,32.0,11.0,21.0,0.0,0.0,35.0,5.0,3.0,147.0,54.0,36.0,125.0,49.0,69.0,25.0,83.0,0.0,26.0,42.0,12.0,15.0,152.0,118.0,95.0,33.0,41.0,6.0,44.0,54.0,89.0,158.0,0.0,16.0,169.0,0.0,53.0,31.0,31.0,24.0,87.0,5.0,93.0,21.0,69.0,70.0,36.0,0.0,1.0,40.0,54.0,1.0,63.0,12.0,35.0
16,2264566573.0,9.0,18.0,9.0,7.0,1.0,15.0,0.0,22.0,11.0,17.0,12.0,2.0,0.0,10.0,8.0,0.0,3.0,5.0,85.0,12.0,1.0,13.0,4.0,6.0,5.0,2.0,7.0,5.0,7.0,15.0,0.0,10.0,5.0,2.0,5.0,6.0,29.0,14.0,3.0,2.0,5.0,0.0,10.0,4.0,4.0,2.0,7.0,8.0,10.0,4.0,17.0,20.0,0.0,5.0,0.0,25.0,13.0,18.0,10.0,3.0,0.0,0.0,2.0,1.0,10.0,86.0,12.0,8.0,14.0,15.0,19.0,5.0,14.0,0.0,7.0,5.0,6.0,13.0,17.0,10.0,4.0,1.0,5.0,4.0,5.0,1.0,6.0,9.0,0.0,5.0,15.0,0.0,13.0,5.0,0.0,1.0,6.0,0.0,22.0,10.0,3.0,12.0,6.0,0.0,3.0,8.0,11.0,2.0,10.0,1.0,8.0
17,2291277529.0,16.0,22.0,5.0,15.0,0.0,19.0,0.0,25.0,12.0,17.0,19.0,4.0,0.0,7.0,6.0,3.0,0.0,7.0,24.0,20.0,5.0,21.0,0.0,5.0,8.0,5.0,0.0,15.0,11.0,6.0,0.0,18.0,10.0,2.0,6.0,8.0,1.0,11.0,10.0,6.0,9.0,1.0,8.0,1.0,1.0,5.0,13.0,13.0,19.0,20.0,19.0,27.0,0.0,2.0,2.0,23.0,0.0,16.0,2.0,6.0,0.0,0.0,3.0,0.0,3.0,23.0,17.0,10.0,18.0,7.0,27.0,5.0,14.0,0.0,5.0,8.0,8.0,8.0,25.0,14.0,8.0,4.0,8.0,10.0,6.0,12.0,6.0,8.0,0.0,4.0,16.0,0.0,15.0,9.0,1.0,7.0,14.0,2.0,22.0,19.0,3.0,18.0,7.0,0.0,2.0,33.0,17.0,1.0,12.0,2.0,16.0
18,2411780837.0,19.0,72.0,2.0,62.0,3.0,76.0,0.0,80.0,43.0,74.0,30.0,15.0,0.0,29.0,36.0,5.0,7.0,0.0,96.0,46.0,22.0,32.0,4.0,27.0,38.0,14.0,6.0,2.0,20.0,18.0,0.0,41.0,14.0,11.0,16.0,27.0,8.0,18.0,37.0,8.0,8.0,3.0,28.0,15.0,6.0,1.0,52.0,37.0,66.0,0.0,62.0,69.0,5.0,10.0,12.0,79.0,4.0,24.0,14.0,24.0,0.0,2.0,18.0,4.0,5.0,91.0,60.0,40.0,56.0,31.0,39.0,29.0,50.0,0.0,30.0,35.0,14.0,5.0,98.0,51.0,31.0,18.0,27.0,11.0,13.0,25.0,31.0,49.0,0.0,16.0,72.0,0.0,21.0,33.0,10.0,7.0,52.0,4.0,81.0,41.0,17.0,76.0,29.0,0.0,3.0,30.0,61.0,4.0,61.0,17.0,27.0
19,2450421474.0,95.0,343.0,19.0,273.0,18.0,376.0,1.0,645.0,159.0,287.0,201.0,47.0,0.0,68.0,174.0,85.0,24.0,96.0,0.0,138.0,54.0,174.0,36.0,107.0,95.0,33.0,24.0,4.0,131.0,110.0,1.0,128.0,54.0,31.0,60.0,56.0,48.0,68.0,119.0,24.0,25.0,10.0,133.0,54.0,23.0,14.0,169.0,146.0,298.0,12.0,355.0,370.0,11.0,47.0,39.0,450.0,50.0,111.0,84.0,45.0,0.0,7.0,60.0,14.0,20.0,944.0,164.0,88.0,235.0,91.0,183.0,56.0,243.0,0.0,55.0,72.0,41.0,38.0,514.0,184.0,109.0,51.0,65.0,27.0,52.0,74.0,99.0,190.0,0.0,31.0,270.0,0.0,78.0,103.0,25.0,35.0,151.0,6.0,515.0,101.0,55.0,340.0,70.0,3.0,12.0,79.0,196.0,12.0,197.0,40.0,244.0
20,2467201618.0,66.0,129.0,11.0,68.0,3.0,105.0,0.0,157.0,45.0,107.0,92.0,22.0,0.0,32.0,39.0,12.0,20.0,46.0,138.0,0.0,14.0,81.0,2.0,22.0,33.0,16.0,10.0,12.0,35.0,23.0,0.0,60.0,32.0,10.0,18.0,18.0,3.0,53.0,43.0,13.0,26.0,2.0,41.0,11.0,4.0,10.0,76.0,40.0,94.0,26.0,83.0,141.0,7.0,7.0,19.0,106.0,5.0,51.0,15.0,21.0,0.0,1.0,13.0,12.0,30.0,126.0,67.0,38.0,89.0,31.0,110.0,18.0,66.0,0.0,23.0,36.0,18.0,64.0,129.0,61.0,31.0,15.0,39.0,22.0,17.0,35.0,37.0,49.0,0.0,25.0,100.0,0.0,31.0,52.0,7.0,14.0,66.0,2.0,117.0,61.0,14.0,95.0,28.0,2.0,19.0,71.0,82.0,8.0,83.0,15.0,50.0
21,2507068351.0,8.0,29.0,2.0,39.0,3.0,34.0,0.0,25.0,57.0,44.0,13.0,26.0,0.0,25.0,42.0,1.0,5.0,22.0,54.0,14.0,0.0,10.0,0.0,17.0,30.0,16.0,1.0,3.0,36.0,27.0,0.0,59.0,13.0,14.0,28.0,26.0,11.0,9.0,26.0,5.0,3.0,6.0,27.0,2.0,7.0,0.0,36.0,49.0,62.0,1.0,25.0,24.0,0.0,17.0,2.0,30.0,1.0,14.0,1.0,21.0,0.0,0.0,15.0,3.0,1.0,42.0,27.0,22.0,50.0,26.0,19.0,19.0,27.0,0.0,16.0,19.0,6.0,5.0,66.0,44.0,47.0,26.0,21.0,5.0,17.0,20.0,48.0,54.0,0.0,7.0,62.0,0.0,17.0,9.0,22.0,4.0,43.0,3.0,27.0,12.0,34.0,30.0,15.0,0.0,0.0,15.0,20.0,1.0,41.0,4.0,14.0
22,252260757.0,78.0,187.0,37.0,94.0,8.0,109.0,0.0,192.0,41.0,120.0,139.0,15.0,0.0,36.0,28.0,13.0,21.0,32.0,174.0,81.0,10.0,0.0,0.0,25.0,15.0,7.0,5.0,6.0,40.0,49.0,0.0,59.0,21.0,3.0,10.0,11.0,0.0,59.0,33.0,14.0,21.0,0.0,140.0,8.0,1.0,11.0,58.0,45.0,124.0,13.0,87.0,243.0,5.0,28.0,19.0,99.0,1.0,74.0,11.0,15.0,0.0,1.0,15.0,7.0,28.0,158.0,64.0,31.0,120.0,22.0,124.0,10.0,73.0,0.0,15.0,17.0,16.0,47.0,137.0,56.0,30.0,5.0,22.0,17.0,10.0,23.0,27.0,51.0,0.0,13.0,92.0,0.0,19.0,37.0,2.0,35.0,49.0,1.0,132.0,53.0,9.0,94.0,27.0,2.0,7.0,43.0,66.0,5.0,68.0,12.0,76.0
23,27115305.0,4.0,9.0,0.0,5.0,0.0,15.0,0.0,28.0,6.0,6.0,10.0,3.0,0.0,2.0,6.0,4.0,0.0,4.0,36.0,2.0,0.0,0.0,0.0,5.0,2.0,2.0,5.0,0.0,1.0,12.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,1.0,2.0,0.0,1.0,0.0,1.0,35.0,5.0,0.0,11.0,0.0,20.0,0.0,67.0,6.0,1.0,2.0,0.0,31.0,9.0,6.0,12.0,0.0,0.0,0.0,2.0,1.0,1.0,73.0,3.0,4.0,0.0,3.0,6.0,5.0,15.0,0.0,3.0,0.0,3.0,1.0,11.0,7.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,6.0,0.0,0.0,7.0,0.0,3.0,6.0,1.0,3.0,4.0,0.0,19.0,3.0,0.0,4.0,5.0,0.0,0.0,3.0,9.0,2.0,3.0,1.0,28.0
24,273378687.0,25.0,63.0,5.0,79.0,2.0,72.0,0.0,84.0,61.0,59.0,33.0,17.0,0.0,30.0,41.0,6.0,5.0,27.0,107.0,22.0,17.0,25.0,5.0,0.0,42.0,20.0,6.0,3.0,45.0,32.0,0.0,53.0,18.0,19.0,28.0,27.0,14.0,14.0,36.0,13.0,8.0,8.0,37.0,19.0,6.0,3.0,37.0,51.0,69.0,1.0,86.0,53.0,1.0,22.0,5.0,63.0,9.0,33.0,15.0,21.0,0.0,4.0,29.0,2.0,3.0,142.0,36.0,29.0,60.0,42.0,33.0,28.0,71.0,0.0,21.0,25.0,17.0,8.0,76.0,67.0,43.0,18.0,24.0,8.0,16.0,27.0,48.0,56.0,0.0,8.0,72.0,0.0,29.0,13.0,12.0,10.0,39.0,5.0,74.0,24.0,26.0,48.0,23.0,0.0,3.0,33.0,37.0,1.0,38.0,7.0,38.0
