,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80
0,-1.0,10243382.0,115641271.0,119731714.0,120203005.0,1203264336.0,1365946201.0,1407333378.0,144160801.0,145243463.0,14579992.0,154049390.0,15917040.0,1651092140.0,165798073.0,16597470.0,174169508.0,18711950.0,1903677397.0,194175199.0,196893525.0,205931698.0,21605447.0,2212610394.0,231620897.0,231876791.0,240848479.0,2585049200.0,259885385.0,261323160.0,272367319.0,272753147.0,279270170.0,28306935.0,2870118587.0,28710635.0,28958572.0,292556702.0,29916329.0,2992259190.0,30860019.0,308976598.0,3130789249.0,319485185.0,328424953.0,33734835.0,339078072.0,348608242.0,360509494.0,3844392447.0,39269882.0,409841780.0,4101407473.0,41400735.0,417679820.0,42286700.0,425941314.0,43296617.0,43497881.0,43522122.0,448214651.0,453490847.0,476564417.0,4859673730.0,491958813.0,547729566.0,620743170.0,63648325.0,64201471.0,705349225.0,759866124.0,8.173501655521321e+17,833877799.0,842560730.0,873995060.0,91224819.0,9.493039549108224e+17,95599536.0,9.580486405803745e+17,962057802.0,9.622787178829046e+17
1,10243382.0,0.0,14.0,2.0,0.0,2.0,10.0,1.0,1.0,0.0,0.0,2.0,7.0,2.0,1.0,0.0,1.0,14.0,0.0,2.0,1.0,8.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,12.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,1.0,6.0,1.0,0.0,0.0,1.0,0.0,0.0,5.0,1.0,2.0,2.0,0.0
2,115641271.0,14.0,0.0,18.0,0.0,1.0,55.0,1.0,0.0,7.0,61.0,1.0,26.0,1.0,0.0,3.0,31.0,92.0,1.0,2.0,0.0,27.0,1.0,0.0,6.0,13.0,10.0,2.0,0.0,4.0,0.0,2.0,4.0,6.0,0.0,8.0,5.0,0.0,44.0,0.0,20.0,7.0,18.0,0.0,1.0,7.0,21.0,0.0,0.0,1.0,2.0,0.0,4.0,13.0,0.0,4.0,35.0,2.0,2.0,15.0,19.0,4.0,1.0,5.0,7.0,8.0,1.0,1.0,0.0,12.0,0.0,4.0,0.0,1.0,3.0,1.0,10.0,9.0,0.0,0.0,0.0
3,119731714.0,2.0,18.0,0.0,0.0,58.0,2.0,25.0,8.0,2.0,34.0,59.0,51.0,59.0,37.0,5.0,115.0,194.0,12.0,4.0,4.0,211.0,4.0,0.0,29.0,0.0,10.0,51.0,2.0,36.0,0.0,4.0,10.0,74.0,31.0,14.0,19.0,0.0,89.0,0.0,39.0,4.0,15.0,2.0,4.0,38.0,26.0,0.0,5.0,38.0,28.0,46.0,11.0,2.0,7.0,6.0,30.0,37.0,32.0,9.0,11.0,5.0,17.0,33.0,79.0,126.0,0.0,93.0,21.0,92.0,61.0,3.0,0.0,12.0,4.0,0.0,30.0,3.0,41.0,37.0,0.0
4,120203005.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
5,1203264336.0,2.0,1.0,58.0,1.0,0.0,2.0,24.0,4.0,2.0,0.0,37.0,5.0,52.0,31.0,1.0,45.0,63.0,1.0,0.0,2.0,64.0,2.0,0.0,24.0,0.0,0.0,39.0,2.0,20.0,0.0,1.0,1.0,44.0,2.0,5.0,10.0,0.0,15.0,0.0,23.0,1.0,3.0,1.0,0.0,13.0,4.0,0.0,1.0,3.0,17.0,12.0,2.0,0.0,2.0,2.0,14.0,11.0,13.0,1.0,2.0,3.0,4.0,3.0,52.0,48.0,0.0,55.0,11.0,31.0,33.0,2.0,0.0,10.0,2.0,0.0,10.0,0.0,24.0,22.0,0.0
6,1365946201.0,10.0,55.0,2.0,0.0,2.0,0.0,1.0,1.0,0.0,6.0,2.0,8.0,1.0,0.0,0.0,3.0,34.0,0.0,2.0,0.0,15.0,1.0,0.0,9.0,2.0,0.0,0.0,0.0,3.0,0.0,2.0,2.0,4.0,1.0,0.0,1.0,0.0,21.0,0.0,1.0,2.0,1.0,0.0,2.0,6.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,3.0,1.0,1.0,1.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,0.0,0.0,0.0
7,1407333378.0,1.0,1.0,25.0,0.0,24.0,1.0,0.0,2.0,1.0,1.0,22.0,1.0,25.0,16.0,0.0,20.0,31.0,1.0,0.0,1.0,31.0,1.0,0.0,11.0,0.0,0.0,32.0,2.0,21.0,0.0,0.0,1.0,19.0,1.0,4.0,1.0,0.0,5.0,0.0,10.0,0.0,4.0,1.0,1.0,3.0,0.0,0.0,1.0,0.0,9.0,6.0,1.0,0.0,0.0,0.0,11.0,3.0,10.0,2.0,1.0,1.0,5.0,1.0,110.0,23.0,0.0,25.0,7.0,17.0,15.0,1.0,0.0,8.0,0.0,0.0,4.0,1.0,15.0,10.0,0.0
8,144160801.0,1.0,0.0,8.0,0.0,4.0,1.0,2.0,0.0,1.0,0.0,4.0,0.0,3.0,3.0,0.0,5.0,10.0,0.0,0.0,2.0,8.0,2.0,0.0,2.0,0.0,0.0,5.0,0.0,3.0,0.0,0.0,1.0,4.0,2.0,1.0,2.0,0.0,3.0,0.0,3.0,0.0,3.0,2.0,1.0,2.0,1.0,0.0,2.0,1.0,4.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,3.0,0.0,4.0,6.0,0.0,4.0,3.0,4.0,4.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,3.0,4.0,0.0
9,145243463.0,0.0,7.0,2.0,0.0,2.0,0.0,1.0,1.0,0.0,18.0,1.0,3.0,1.0,0.0,1.0,7.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,1.0,6.0,0.0,1.0,1.0,0.0,31.0,0.0,5.0,2.0,4.0,0.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,0.0,0.0,10.0,0.0,2.0,6.0,1.0,0.0,0.0,3.0,1.0,1.0,0.0,4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0
10,14579992.0,0.0,61.0,34.0,0.0,0.0,6.0,1.0,0.0,18.0,0.0,1.0,2.0,1.0,1.0,0.0,42.0,7.0,1.0,0.0,0.0,5.0,1.0,0.0,0.0,14.0,6.0,1.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,11.0,0.0,18.0,7.0,108.0,0.0,0.0,1.0,35.0,0.0,0.0,1.0,0.0,0.0,1.0,13.0,0.0,0.0,130.0,1.0,0.0,40.0,18.0,0.0,1.0,0.0,4.0,2.0,0.0,0.0,1.0,3.0,0.0,3.0,0.0,4.0,0.0,1.0,2.0,6.0,4.0,1.0,0.0
11,154049390.0,2.0,1.0,59.0,1.0,37.0,2.0,22.0,4.0,1.0,1.0,0.0,5.0,50.0,29.0,2.0,30.0,74.0,1.0,0.0,4.0,58.0,2.0,0.0,21.0,0.0,1.0,32.0,2.0,21.0,0.0,0.0,2.0,36.0,7.0,4.0,1.0,0.0,21.0,0.0,20.0,2.0,4.0,4.0,2.0,2.0,4.0,0.0,2.0,8.0,14.0,11.0,2.0,0.0,2.0,0.0,20.0,12.0,10.0,1.0,0.0,0.0,1.0,5.0,40.0,57.0,0.0,58.0,16.0,29.0,62.0,1.0,0.0,10.0,0.0,0.0,12.0,0.0,20.0,27.0,0.0
12,15917040.0,7.0,26.0,51.0,0.0,5.0,8.0,1.0,0.0,3.0,2.0,5.0,0.0,2.0,4.0,3.0,61.0,59.0,3.0,1.0,3.0,48.0,2.0,0.0,10.0,0.0,61.0,3.0,0.0,13.0,0.0,2.0,5.0,23.0,3.0,9.0,19.0,0.0,44.0,0.0,13.0,1.0,6.0,0.0,2.0,24.0,6.0,0.0,3.0,5.0,5.0,13.0,6.0,2.0,4.0,14.0,3.0,7.0,11.0,7.0,0.0,2.0,4.0,21.0,14.0,30.0,0.0,10.0,3.0,17.0,2.0,2.0,0.0,2.0,7.0,0.0,9.0,3.0,0.0,3.0,0.0
13,1651092140.0,2.0,1.0,59.0,1.0,52.0,1.0,25.0,3.0,1.0,1.0,50.0,2.0,0.0,44.0,1.0,30.0,84.0,0.0,0.0,3.0,60.0,1.0,0.0,25.0,0.0,0.0,49.0,2.0,16.0,0.0,0.0,3.0,42.0,7.0,4.0,4.0,0.0,15.0,0.0,19.0,3.0,3.0,3.0,3.0,2.0,2.0,0.0,3.0,6.0,11.0,9.0,1.0,0.0,1.0,1.0,16.0,15.0,12.0,0.0,0.0,0.0,1.0,1.0,53.0,46.0,0.0,60.0,11.0,39.0,46.0,1.0,0.0,11.0,2.0,0.0,19.0,0.0,30.0,27.0,0.0
14,165798073.0,1.0,0.0,37.0,1.0,31.0,0.0,16.0,3.0,0.0,1.0,29.0,4.0,44.0,0.0,1.0,44.0,67.0,0.0,0.0,3.0,65.0,1.0,2.0,17.0,1.0,0.0,34.0,0.0,22.0,0.0,0.0,2.0,34.0,3.0,4.0,2.0,0.0,13.0,0.0,20.0,5.0,2.0,2.0,5.0,4.0,1.0,0.0,2.0,3.0,5.0,16.0,0.0,0.0,1.0,3.0,5.0,13.0,5.0,2.0,0.0,1.0,5.0,1.0,31.0,45.0,0.0,42.0,6.0,21.0,38.0,0.0,0.0,11.0,1.0,0.0,8.0,0.0,17.0,15.0,0.0
15,16597470.0,0.0,3.0,5.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,3.0,1.0,1.0,0.0,4.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
16,174169508.0,1.0,31.0,115.0,1.0,45.0,3.0,20.0,5.0,7.0,42.0,30.0,61.0,30.0,44.0,4.0,0.0,119.0,97.0,1.0,4.0,124.0,7.0,0.0,22.0,6.0,13.0,28.0,1.0,31.0,0.0,1.0,9.0,72.0,88.0,16.0,37.0,0.0,108.0,0.0,49.0,3.0,31.0,1.0,4.0,39.0,12.0,0.0,2.0,116.0,29.0,22.0,21.0,4.0,6.0,23.0,41.0,21.0,27.0,39.0,11.0,5.0,19.0,168.0,48.0,74.0,0.0,49.0,12.0,41.0,24.0,12.0,0.0,11.0,9.0,0.0,16.0,6.0,14.0,18.0,0.0
17,18711950.0,14.0,92.0,194.0,1.0,63.0,34.0,31.0,10.0,2.0,7.0,74.0,59.0,84.0,67.0,2.0,119.0,0.0,18.0,7.0,6.0,215.0,5.0,0.0,55.0,4.0,14.0,65.0,3.0,40.0,0.0,4.0,15.0,80.0,35.0,12.0,14.0,0.0,134.0,0.0,40.0,4.0,18.0,4.0,11.0,24.0,14.0,0.0,7.0,52.0,22.0,43.0,16.0,5.0,12.0,2.0,31.0,43.0,33.0,8.0,0.0,3.0,14.0,39.0,94.0,125.0,1.0,123.0,13.0,101.0,118.0,3.0,0.0,19.0,6.0,0.0,49.0,7.0,39.0,44.0,0.0
18,1903677397.0,0.0,1.0,12.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,97.0,18.0,0.0,0.0,1.0,10.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,45.0,2.0,1.0,0.0,31.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,153.0,1.0,1.0,12.0,0.0,0.0,0.0,0.0,1.0,2.0,22.0,0.0,0.0,1.0,68.0,2.0,3.0,0.0,1.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
19,194175199.0,2.0,2.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,2.0,1.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
20,196893525.0,1.0,0.0,4.0,0.0,2.0,0.0,1.0,2.0,0.0,0.0,4.0,3.0,3.0,3.0,0.0,4.0,6.0,1.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,2.0,2.0,3.0,1.0,0.0,5.0,0.0,4.0,0.0,1.0,2.0,2.0,0.0,2.0,0.0,3.0,2.0,4.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,3.0,4.0,0.0,4.0,2.0,3.0,4.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,3.0,3.0,0.0
21,205931698.0,8.0,27.0,211.0,0.0,64.0,15.0,31.0,8.0,1.0,5.0,58.0,48.0,60.0,65.0,2.0,124.0,215.0,10.0,3.0,4.0,0.0,2.0,0.0,38.0,0.0,9.0,51.0,1.0,43.0,0.0,5.0,12.0,84.0,35.0,12.0,17.0,0.0,87.0,0.0,49.0,2.0,15.0,3.0,11.0,28.0,8.0,0.0,7.0,48.0,25.0,58.0,11.0,2.0,4.0,2.0,18.0,42.0,26.0,7.0,2.0,5.0,13.0,32.0,75.0,144.0,0.0,96.0,23.0,84.0,99.0,3.0,0.0,16.0,8.0,0.0,33.0,3.0,38.0,41.0,0.0
22,21605447.0,0.0,1.0,4.0,0.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0,7.0,5.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,1.0,2.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,1.0,6.0,3.0,0.0,2.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
23,2212610394.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,231620897.0,5.0,6.0,29.0,0.0,24.0,9.0,11.0,2.0,0.0,0.0,21.0,10.0,25.0,17.0,0.0,22.0,55.0,1.0,1.0,2.0,38.0,0.0,0.0,0.0,0.0,1.0,16.0,3.0,12.0,0.0,1.0,6.0,45.0,2.0,7.0,7.0,0.0,19.0,0.0,13.0,7.0,1.0,2.0,1.0,12.0,3.0,0.0,1.0,4.0,12.0,12.0,7.0,3.0,2.0,0.0,11.0,6.0,7.0,1.0,1.0,5.0,3.0,4.0,33.0,33.0,0.0,24.0,9.0,32.0,19.0,0.0,0.0,11.0,1.0,0.0,4.0,2.0,13.0,17.0,0.0
